id,c,treated,mediator,event
123,0.19119,0,1,1
124,-0.379156,1,0,1
125,0.802971,0,1,1
126,-1.090656,1,0,0
127,0.058068,0,0,0
128,0.995608,0,0,0
129,0.039928,0,1,1
130,0.127927,1,0,0
131,0.628814,0,0,1
132,-0.82692,0,1,1
133,-1.272018,1,1,0
134,-0.22311,0,0,0
135,1.378648,1,0,1
136,1.069352,0,0,0
137,-0.578382,0,1,1
138,0.546552,1,1,1
139,0.776372,1,1,1
140,-1.255488,1,1,0
141,-0.620222,0,1,0
142,-1.941718,0,0,0
143,-0.062614,1,1,0
144,0.135412,0,1,1
145,0.154649,1,0,0
146,1.848382,0,1,1
147,0.073915,1,0,1
148,0.828922,1,0,0
149,-0.661376,1,0,0
150,-0.521686,0,0,0
151,0.877139,0,0,1
152,-0.209282,0,0,0
153,-0.042406,1,1,1
154,0.566325,1,1,1
155,-1.53025,0,1,0
156,-0.937662,0,0,0
157,0.518967,1,1,1
158,0.153054,1,1,0
159,0.367674,1,1,0
160,1.2749,1,1,1
161,1.270367,0,1,1
162,-0.596296,0,0,0
163,0.241356,0,1,1
164,-1.2296,0,0,0
165,-0.52983,0,0,0
166,1.5381,1,0,0
167,-0.06087,0,0,0
168,1.910897,0,0,0
169,0.963625,0,0,1
170,2.276612,0,0,0
171,-0.618442,0,0,0
172,0.598304,0,0,0
173,0.187132,1,0,0
174,-1.37441,0,0,0
175,-0.672799,1,1,0
176,0.429611,1,0,0
177,-1.865507,0,1,0
178,0.41716,1,1,1
179,-0.242632,0,0,1
180,0.04566,1,1,1
181,-0.21,1,0,0
182,-1.089464,0,0,0
183,-1.055618,0,0,1
184,0.225095,0,0,1
185,-1.194604,1,1,1
186,-1.595761,0,0,0
187,0.250172,0,0,0
188,-1.389647,1,1,0
189,-0.656026,0,1,1
190,0.360296,0,1,0
191,-0.703608,0,1,0
192,-0.311453,0,0,0
193,-2.472449,1,1,1
194,-0.581761,0,0,0
195,-1.209709,0,0,0
196,0.388315,0,1,0
197,0.935297,0,0,0
198,0.41848,1,1,1
199,0.415641,0,1,0
200,2.089715,1,0,0
201,-0.037674,0,1,0
202,-0.117021,0,0,0
203,0.833826,0,0,0
204,-0.946357,0,0,0
205,-0.192208,0,0,0
206,-0.042884,1,1,0
207,-1.323275,0,1,0
208,0.628401,0,0,1
209,2.271385,1,1,1
210,-0.796609,1,0,0
211,-0.599507,0,0,0
212,0.697926,0,0,0
213,0.526298,0,1,1
214,-1.136044,1,0,0
215,1.332886,1,1,1
216,-1.480133,1,0,0
217,1.667078,1,1,1
218,-0.445916,0,1,1
219,1.237915,0,0,1
220,-0.906923,1,1,0
221,-0.604684,1,0,0
222,-0.68762,0,1,0
223,-1.606891,1,1,1
224,-0.084503,0,0,1
225,-0.081167,1,0,1
226,-0.373169,0,0,0
227,0.518907,0,0,0
228,0.068523,0,0,0
229,0.860773,0,0,0
230,0.777451,0,1,0
231,0.791921,0,0,0
232,0.229638,1,1,1
233,1.086377,1,1,1
234,-0.269727,1,1,0
235,-0.550412,0,0,0
236,-0.66618,0,0,1
237,-1.338084,0,0,0
238,-1.284912,0,1,0
239,0.595955,0,1,1
240,-0.960476,0,0,0
241,0.858701,1,0,0
242,-0.563761,1,1,1
243,0.072835,1,1,1
244,-0.468929,0,0,1
245,-1.889277,0,0,0
246,0.931729,1,1,1
247,-0.658762,0,0,0
248,0.051203,1,1,0
249,-1.348635,0,0,0
250,1.066275,1,1,1
251,-0.365716,0,1,1
252,-0.453849,1,1,1
253,1.29526,1,1,0
254,-0.084339,1,1,1
255,-0.559823,0,0,0
256,-0.830806,1,1,0
257,0.632315,1,0,0
258,-1.750372,1,0,0
259,-1.561008,0,1,0
260,-0.119643,0,0,0
261,-0.294391,0,0,0
262,-0.693057,0,0,0
263,0.615149,0,0,0
264,-0.647197,1,0,0
265,-0.12521,0,0,0
266,-1.795417,0,0,0
267,0.342048,1,1,0
268,-0.297101,0,0,0
269,0.507205,1,0,0
270,1.394517,0,1,0
271,0.477691,0,0,1
272,0.737195,0,1,1
273,-0.682214,0,0,0
274,-0.098722,0,1,1
275,2.763023,0,1,1
276,-0.821467,0,1,0
277,0.476273,1,1,1
278,-1.495918,0,0,0
279,-0.203084,0,1,0
280,-0.315705,0,1,0
281,0.247722,0,1,1
282,0.256034,0,0,0
283,-0.99366,0,0,0
284,2.591471,1,1,0
285,0.232371,1,1,1
286,0.029264,0,1,0
287,-3.002654,0,0,0
288,-1.061715,0,0,0
289,-1.532753,1,1,1
290,1.695824,1,1,1
291,0.019294,0,1,1
292,-0.899685,0,0,0
293,0.262512,0,0,0
294,1.025757,1,1,1
295,1.545213,1,0,0
296,-2.354987,0,0,0
297,-0.077429,0,0,0
298,-0.4731,0,0,0
299,-0.112329,1,0,0
300,-1.956809,0,0,0
301,-0.459885,0,0,0
302,1.574396,0,0,0
303,0.002314,1,0,1
304,-0.69561,1,0,1
305,0.104999,0,1,0
306,-1.913554,1,0,0
307,-1.756,0,0,0
308,0.494497,0,1,0
309,-1.027739,1,0,0
310,-0.483173,0,0,0
311,0.700679,0,1,0
312,-1.062022,0,0,0
313,1.638599,1,1,1
314,-0.934488,1,1,0
315,-0.444419,0,0,0
316,-0.713056,0,0,0
317,-0.838991,0,0,0
318,0.737567,1,1,1
319,1.787824,0,0,0
320,-0.421861,1,1,1
321,-0.003672,1,0,0
322,-0.01746,1,0,0
323,0.722204,0,1,1
324,-0.745166,0,1,1
325,0.074767,1,1,1
326,0.167602,0,1,0
327,0.184897,0,0,1
328,0.501349,1,1,0
329,0.939788,0,0,1
330,0.025458,1,1,1
331,-2.1887,0,0,0
332,0.439915,0,0,0
333,-1.047082,0,1,0
334,0.418601,0,1,1
335,0.674321,0,0,1
336,0.250394,1,1,1
337,0.54241,0,0,0
338,-0.886043,0,0,0
339,-0.438465,0,0,0
340,-0.371149,1,1,1
341,-0.040203,0,0,0
342,0.171839,1,1,1
343,-0.403857,1,1,1
344,-0.418661,1,0,0
345,-0.472124,0,1,1
346,-0.655302,1,1,1
347,-0.699225,0,0,1
348,0.163546,1,0,0
349,1.603677,1,1,1
350,0.842845,0,1,1
351,-0.56574,0,1,0
352,0.831536,1,1,0
353,1.012999,1,0,0
354,-1.726026,0,0,0
355,0.496556,0,1,0
356,-0.934434,1,0,0
357,-0.242282,0,1,1
358,0.613655,1,1,1
359,-0.45259,1,1,0
360,-1.940255,1,0,0
361,0.096283,0,0,0
362,-0.562832,1,0,1
363,0.705759,0,1,1
364,1.574788,1,1,1
365,0.097723,0,0,0
366,-0.72884,0,0,0
367,0.530364,0,1,1
368,-0.684214,1,1,0
369,0.685431,1,1,1
370,-0.239468,0,1,1
371,0.72783,1,1,1
372,-0.357742,1,1,1
373,-0.38325,0,0,0
374,-1.494834,0,1,1
375,-1.432803,0,1,0
376,0.364333,1,1,1
377,-1.132024,0,1,0
378,1.817054,1,1,1
379,0.445666,1,1,1
380,-0.706193,0,0,0
381,-1.487437,0,0,0
382,-1.22629,0,0,0
383,-0.484613,1,0,1
384,1.234038,1,1,1
385,0.697243,1,0,0
386,-1.23712,0,0,0
387,0.054899,0,0,0
388,-0.629185,1,1,1
389,0.985443,0,0,0
390,0.905371,0,0,1
391,-0.118651,0,1,0
392,1.050665,1,1,1
393,-1.410564,0,0,0
394,0.393155,1,0,0
395,-0.238226,1,0,0
396,0.17482,0,1,1
397,-0.616379,1,1,1
398,-0.199205,1,0,0
399,1.744808,1,0,0
400,-0.065773,0,0,0
401,-0.266818,0,0,0
402,-0.773309,1,1,0
403,1.121558,1,1,0
404,-0.90724,0,0,0
405,0.945773,1,0,1
406,0.122988,0,1,1
407,0.460672,0,0,0
408,0.879603,0,1,1
409,1.370694,0,1,1
410,1.457916,1,1,1
411,1.671139,1,1,1
412,2.010542,0,1,0
413,-0.29772,0,0,0
414,0.434134,1,1,1
415,1.056244,0,1,1
416,1.97529,0,1,1
417,-0.404864,0,1,1
418,-1.016785,1,0,0
419,-0.649621,0,0,0
420,-0.187886,0,0,0
421,0.9717,0,1,0
422,1.268148,1,1,1
423,1.075246,1,1,1
424,-1.307459,0,0,0
425,-0.109021,0,1,1
426,2.272296,1,1,1
427,-2.474283,0,0,0
428,0.855115,0,0,0
429,-1.212079,0,0,0
430,-1.70418,0,0,0
431,-1.079562,1,1,0
432,-0.440676,1,0,0
433,-1.079226,0,0,0
434,0.690567,0,1,1
435,-1.803826,0,0,0
436,1.032173,0,1,1
437,0.397817,1,0,0
438,0.538497,0,1,0
439,-0.516219,0,0,1
440,-0.531672,0,0,0
441,0.912774,0,0,0
442,0.108285,1,1,1
443,0.811948,0,0,1
444,0.529936,0,0,1
445,1.124244,1,0,0
446,1.059923,1,0,0
447,-0.554267,0,0,0
448,-0.881207,0,0,0
449,0.618482,1,0,0
450,-1.854569,0,1,0
451,1.139851,0,1,1
452,0.029989,0,0,0
453,-0.234298,0,0,0
454,0.090904,0,1,1
455,0.709916,1,1,1
456,1.327091,0,0,0
457,0.609769,1,0,0
458,-1.165896,0,0,0
459,0.606254,1,1,1
460,-2.046201,0,0,0
461,0.256857,0,1,0
462,-0.590577,1,1,0
463,1.011236,0,1,1
464,0.339594,0,1,0
465,0.24374,1,0,0
466,2.150688,1,1,1
467,-1.167582,0,0,0
468,0.703466,0,1,0
469,1.778406,1,1,1
470,0.852225,0,1,1
471,-0.009468,1,1,0
472,0.074653,0,0,1
473,-0.662456,0,0,0
474,1.423453,1,0,1
475,0.621084,0,1,0
476,-0.309661,1,1,1
477,0.887974,0,1,0
478,0.486785,1,1,0
479,-1.314739,0,0,0
480,1.852712,1,1,1
481,-0.489219,1,1,0
482,-1.153067,0,1,0
483,-0.310192,0,1,0
484,-1.107345,0,1,0
485,-1.222007,0,1,1
486,-1.759366,0,0,1
487,-1.226454,1,0,0
488,-1.869476,0,1,0
489,0.29499,1,1,0
490,-0.074384,0,0,0
491,-1.325461,0,0,0
492,0.083784,0,1,1
493,0.888666,0,0,1
494,-0.471482,0,0,0
495,1.584595,0,0,0
496,-1.072247,0,0,0
497,-0.795199,0,1,0
498,1.127794,1,1,1
499,-0.929792,0,0,0
500,-1.470516,0,0,0
501,-0.452478,0,0,0
502,0.559742,1,0,1
503,0.719473,0,1,0
504,-0.307619,1,1,1
505,-1.016154,0,1,1
506,0.036035,1,1,1
507,-0.373619,1,1,1
508,-0.00037,1,0,1
509,-0.339056,0,0,0
510,0.319757,0,1,0
511,1.628301,0,1,1
512,-0.483231,0,1,0
513,0.202241,0,0,0
514,-1.036321,1,0,1
515,0.748779,0,1,1
516,-2.007177,0,1,0
517,0.614578,1,0,0
518,0.019099,0,0,0
519,-2.126025,0,0,0
520,-0.177711,1,1,1
521,0.379749,0,0,1
522,1.467456,0,0,0
523,-0.310037,0,0,0
524,1.184295,0,0,0
525,0.033463,1,1,1
526,-0.205432,0,0,1
527,0.479664,0,0,0
528,0.30064,0,0,0
529,-0.117876,1,1,0
530,0.04442,1,0,0
531,-0.540265,1,1,1
532,0.342336,1,1,0
533,-0.512885,1,0,0
534,-0.448437,0,1,1
535,0.942784,0,1,1
536,-0.376229,1,0,0
537,-1.06765,0,0,0
538,-0.238383,0,1,0
539,0.582599,1,1,1
540,-1.798165,0,0,0
541,1.074625,1,1,1
542,-0.328682,0,0,0
543,-0.141061,0,0,0
544,0.711535,1,1,1
545,0.385024,0,1,1
546,0.789416,1,1,1
547,0.679699,1,1,1
548,-0.868625,0,0,0
549,-2.303713,0,1,0
550,0.334106,1,0,1
551,-0.931984,0,0,0
552,0.114145,1,1,0
553,-1.731661,1,1,1
554,-0.324446,0,0,0
555,-0.665597,0,1,1
556,0.863693,1,1,0
557,-0.140755,0,1,0
558,-1.288095,1,0,0
559,-0.539606,0,1,1
560,0.933399,1,0,0
561,-0.022072,1,1,0
562,-1.086503,0,0,0
563,1.252567,0,1,1
564,-0.102224,0,0,0
565,-0.820127,0,0,0
566,-1.51457,0,1,0
567,-0.061776,1,1,1
568,1.454943,1,1,0
569,1.322823,0,1,1
570,-0.639475,1,1,0
571,-1.488856,0,0,0
572,0.410916,0,1,0
573,0.523963,1,1,1
574,-0.411977,1,0,0
575,-0.240046,0,0,1
576,1.038261,1,1,1
577,-0.408934,0,0,0
578,1.57201,0,1,0
579,1.185842,1,0,1
580,0.20683,0,1,1
581,0.88896,1,1,1
582,0.021147,1,1,0
583,-0.100195,1,1,0
584,-0.73667,0,1,0
585,0.468741,0,0,1
586,-0.898276,0,1,1
587,1.608883,1,1,1
588,-0.399461,0,0,0
589,-0.147859,1,0,0
590,1.620775,0,0,0
591,0.506384,1,1,0
592,-0.866458,0,1,1
593,-0.654319,0,0,0
594,-0.884026,0,0,0
595,-1.061786,0,1,0
596,1.285987,1,0,0
597,1.164379,0,1,1
598,-1.635687,0,0,0
599,1.838576,1,0,0
600,2.300427,1,1,0
601,0.110919,1,1,1
602,-0.465371,1,0,0
603,-0.311684,0,0,0
604,-1.335211,1,0,0
605,1.574878,1,0,1
606,-0.044157,0,0,0
607,-1.020023,0,1,0
608,-0.246206,0,0,0
609,-1.463963,1,1,0
610,-0.161417,1,1,0
611,-1.810637,0,0,0
612,0.253303,0,0,1
613,-0.272633,1,0,1
614,-1.327147,0,0,0
615,0.676522,1,1,1
616,-0.739565,1,0,0
617,0.974803,1,0,0
618,-0.156373,1,1,0
619,0.746098,1,1,1
620,-0.733046,1,0,0
621,0.499375,0,0,0
622,1.165578,1,1,1
623,1.454524,1,1,1
624,-1.096622,0,0,1
625,-1.966906,0,0,0
626,0.717945,0,0,0
627,0.246237,0,1,0
628,1.364258,0,0,0
629,0.640314,0,0,0
630,1.312789,1,1,0
631,-1.709431,0,0,0
632,-0.783827,0,1,0
633,1.007309,0,1,1
634,1.655933,0,0,0
635,0.059917,1,0,0
636,0.364836,0,0,1
637,0.037791,0,0,0
638,-1.066898,0,0,0
639,0.391897,0,0,0
640,1.011209,0,0,1
641,-0.963789,0,1,0
642,-0.042656,1,1,0
643,1.815594,1,0,0
644,-0.235508,0,1,1
645,-0.080712,1,0,0
646,0.273384,0,1,0
647,0.629259,0,1,1
648,0.72989,1,1,1
649,-1.130648,1,0,0
650,-0.266104,0,0,0
651,1.124367,0,0,0
652,0.027782,1,0,0
653,0.358038,0,1,1
654,-0.889696,0,1,0
655,-0.181057,0,1,1
656,0.610738,1,0,0
657,0.566725,0,1,1
658,-0.325111,0,0,0
659,-0.168682,1,1,1
660,-0.053352,0,0,1
661,-0.337533,0,0,0
662,-1.20343,1,0,0
663,-1.550041,1,0,1
664,-0.821923,0,0,0
665,0.194164,1,1,1
666,-1.241688,0,0,0
667,1.010552,0,1,1
668,0.38591,1,1,0
669,-1.102234,0,0,0
670,0.400161,0,1,0
671,-0.737045,0,0,0
672,-0.144514,1,1,1
673,-1.090457,1,0,0
674,0.519679,0,0,0
675,1.051393,1,0,0
676,-0.453147,0,1,0
677,-0.859859,0,1,1
678,-1.208568,1,1,0
679,0.185428,1,0,0
680,0.944395,1,1,1
681,1.681499,1,1,0
682,0.527474,1,0,0
683,0.873733,0,1,1
684,0.591728,1,1,0
685,0.456007,0,1,1
686,-0.427107,0,1,0
687,0.388633,1,1,1
688,0.467313,1,1,1
689,1.602853,0,0,1
690,0.671815,1,1,1
691,-0.025799,0,1,1
692,-0.208008,1,0,0
693,-1.376466,0,1,0
694,0.180631,0,1,1
695,-1.370724,0,1,1
696,0.263877,0,0,1
697,1.475016,0,1,1
698,0.518381,1,1,0
699,-0.606938,0,0,0
700,-0.631276,0,0,0
701,-0.491861,0,0,0
702,-1.399681,0,1,1
703,0.482417,0,1,1
704,0.962935,1,0,0
705,0.401743,0,1,1
706,0.025079,1,1,1
707,-0.112439,0,1,0
708,-0.317886,1,1,1
709,1.236542,0,0,0
710,-0.22111,0,0,0
711,-0.595618,0,0,0
712,0.960361,1,0,0
713,1.472872,1,0,0
714,-0.248946,0,1,0
715,-0.034791,0,1,1
716,-1.022355,1,1,0
717,1.157859,1,1,0
718,0.590129,1,0,0
719,-0.125918,0,1,1
720,2.243177,0,1,1
721,0.521458,1,0,0
722,-0.437267,1,1,1
723,0.543164,0,0,0
724,-0.529806,1,1,1
725,-0.570377,1,1,0
726,-0.123129,0,1,1
727,-0.152682,1,1,0
728,1.990044,1,1,1
729,1.245979,1,1,1
730,-0.382062,0,1,0
731,0.501109,0,0,0
732,1.323043,0,0,0
733,-1.585755,1,1,0
734,-1.857702,0,0,0
735,-1.414931,0,0,1
736,0.10627,0,1,0
737,-0.102313,0,1,0
738,0.794688,1,1,1
739,2.521923,1,1,1
740,0.580963,1,1,0
741,0.805797,0,1,1
742,-1.436937,0,1,0
743,0.758087,0,0,1
744,1.08848,0,0,0
745,-1.362153,1,0,0
746,-0.412643,0,0,0
747,0.80714,1,1,1
748,-1.91636,0,0,0
749,0.008911,1,0,0
750,-0.40822,0,0,0
751,-0.459811,1,1,1
752,-0.398516,1,1,0
753,1.193576,0,0,0
754,0.018742,0,0,0
755,-0.064977,0,0,0
756,1.095294,1,1,1
757,0.566948,0,1,0
758,2.013704,1,1,1
759,0.278592,0,1,1
760,0.323821,0,1,1
761,0.518002,0,0,1
762,-1.846144,1,1,0
763,-1.267162,1,0,0
764,-0.2473,1,1,0
765,0.406213,0,0,0
766,1.174914,1,1,1
767,0.301605,0,1,1
768,0.722325,0,0,0
769,1.024323,0,1,0
770,-0.152546,0,0,1
771,-0.518054,0,1,0
772,-1.009717,0,1,1
773,0.023048,1,0,0
774,0.759244,0,1,1
775,2.10743,1,0,0
776,0.189764,0,0,1
777,-1.675284,1,1,0
778,0.790827,0,0,0
779,0.341569,0,0,0
780,-0.503541,0,1,1
781,-0.282621,1,1,0
782,-0.439059,0,1,0
783,-0.357714,1,0,0
784,0.402922,1,1,0
785,-0.794511,1,1,0
786,1.365144,0,1,0
787,-0.134364,1,1,1
788,0.520012,1,1,0
789,1.011985,1,0,0
790,0.068131,0,0,0
791,0.129573,1,1,1
792,0.696628,1,1,1
793,-0.782712,1,1,1
794,0.350899,1,0,0
795,0.88014,0,0,1
796,-2.200704,0,0,0
797,-0.469496,0,1,1
798,-1.651129,0,0,0
799,0.337746,0,0,0
800,0.375293,0,1,0
801,-0.320751,0,0,0
802,0.454895,0,1,1
803,0.546381,0,1,0
804,0.746905,0,1,0
805,-1.5474,0,0,0
806,-0.754509,0,0,0
807,0.408912,0,0,0
808,-0.20849,1,1,1
809,-0.858576,0,0,0
810,0.447728,0,1,0
811,0.819015,1,1,1
812,0.979646,1,1,1
813,0.396273,1,1,0
814,-0.83526,0,0,1
815,-0.24266,1,1,1
816,1.012709,1,0,0
817,0.123244,0,0,1
818,-0.568764,1,0,0
819,0.192701,1,0,0
820,1.035296,1,0,0
821,-0.102024,1,1,0
822,0.22703,0,0,0
823,-0.382395,0,1,1
824,0.5883,1,1,0
825,0.240514,1,1,1
826,0.034934,1,1,1
827,-0.594197,0,0,0
828,-2.023192,0,0,0
829,0.43075,0,0,0
830,0.213698,0,0,0
831,0.300025,1,0,0
832,1.089152,1,1,1
833,0.190915,1,0,0
834,1.017585,0,0,0
835,-0.380216,1,0,0
836,0.282435,0,1,0
837,-0.891153,0,0,0
838,1.395648,1,1,1
839,0.009685,0,1,0
840,1.063755,1,1,1
841,-0.3583,0,1,0
842,-0.405542,0,0,1
843,1.481684,1,0,1
844,-1.07388,0,0,0
845,-0.477223,0,0,0
846,0.268662,1,0,0
847,-0.943379,1,0,0
848,-1.181778,0,0,1
849,1.547497,0,1,1
850,0.482686,0,1,0
851,1.577747,1,0,1
852,0.196766,1,1,1
853,1.497918,0,1,1
854,0.178063,1,1,1
855,1.474661,0,0,1
856,-0.338133,0,0,1
857,-0.843922,1,0,0
858,-0.562253,0,0,0
859,1.546979,0,1,0
860,0.383332,1,0,0
861,0.423837,1,1,1
862,-0.398393,1,0,1
863,-0.384713,0,0,0
864,1.789058,1,0,1
865,0.147378,1,1,0
866,1.430436,1,0,0
867,1.264607,1,1,0
868,-0.704503,0,0,0
869,-0.918967,0,1,0
870,-1.227379,1,0,0
871,-0.259259,0,0,0
872,-2.021847,0,0,0
873,0.568186,0,1,1
874,-0.791212,0,1,0
875,-0.582787,1,1,1
876,-0.768388,0,1,0
877,2.266673,1,1,0
878,1.565847,1,0,1
879,-1.576817,0,1,0
880,1.666284,0,1,1
881,1.125534,1,1,0
882,0.991805,0,0,0
883,0.088619,0,0,1
884,0.088218,1,1,1
885,0.992712,1,1,1
886,0.164538,0,0,0
887,-1.278435,0,0,0
888,-1.982417,0,0,0
889,-0.986098,1,0,0
890,0.807529,0,0,0
891,0.483027,1,1,1
892,1.019935,1,1,0
893,-0.473704,0,1,1
894,1.584538,0,0,0
895,0.320369,0,0,0
896,0.993044,1,0,0
897,-0.06446,0,0,0
898,0.372648,0,1,0
899,-1.912328,0,0,0
900,0.625899,1,1,1
901,-1.074316,1,0,0
902,-1.96254,0,0,0
903,0.126002,0,1,1
904,-0.129268,0,1,0
905,-0.829001,1,1,0
906,2.246337,1,1,1
907,0.090411,0,1,1
908,0.810525,1,1,1
909,-0.075914,1,0,1
910,1.608526,1,1,0
911,0.464619,1,1,1
912,-0.378582,0,0,0
913,0.970476,1,0,0
914,-0.646001,1,0,0
915,-0.53092,1,0,0
916,-0.293395,0,0,1
917,0.625838,1,1,0
918,1.133865,1,1,1
919,-1.539614,0,1,0
920,-0.416943,0,1,1
921,-1.418217,1,0,0
922,1.005478,0,1,1
923,-0.692325,1,1,0
924,0.580873,0,1,1
925,0.452273,0,0,1
926,0.736924,1,1,1
927,1.069109,0,0,0
928,-0.44756,0,1,1
929,1.044512,1,0,0
930,-1.121168,1,1,1
931,0.225373,1,1,0
932,0.727918,1,0,0
933,-0.1132,1,0,0
934,-1.898639,1,0,0
935,0.236174,0,0,0
936,-0.335361,1,1,1
937,-0.476149,1,0,0
938,-0.523142,1,1,0
939,0.78935,1,1,1
940,0.819697,1,1,1
941,0.434886,0,0,0
942,1.425183,0,0,0
943,-0.422862,1,0,1
944,-1.314778,1,1,0
945,0.073911,0,0,0
946,1.566222,1,0,0
947,-1.352329,1,0,0
948,-0.816498,0,1,1
949,1.009276,1,0,0
950,-0.647406,0,0,1
951,-0.98427,1,1,0
952,0.33944,0,1,1
953,-0.709681,0,1,0
954,0.290056,0,0,0
955,-1.217552,1,0,0
956,-0.566857,0,0,0
957,-0.608516,0,0,0
958,1.431072,1,1,1
959,-0.207286,0,1,1
960,0.38669,1,1,1
961,0.357406,1,1,1
962,-0.247242,0,0,0
963,0.212514,1,1,0
964,1.046946,1,1,1
965,0.370456,0,0,0
966,-0.08967,0,0,0
967,0.921662,1,1,1
968,-0.90989,0,0,0
969,-0.012377,0,0,0
970,0.03577,0,1,1
971,0.437623,0,1,0
972,-0.489019,0,1,0
973,-0.347798,0,1,1
974,0.766321,0,0,1
975,0.89631,1,1,1
976,-0.253126,0,0,0
977,0.953447,0,1,0
978,-0.313139,0,0,0
979,-0.321538,0,0,0
980,-1.734948,1,1,0
981,-0.214616,0,0,0
982,-0.929581,1,1,0
983,1.344583,0,0,1
984,0.72297,1,1,1
985,-1.213256,0,0,0
986,-0.072878,1,0,0
987,0.263186,1,1,1
988,1.664252,0,1,0
989,-0.892159,0,1,1
990,1.647,1,0,0
991,-0.672917,1,0,0
992,0.553491,0,1,0
993,1.664038,0,0,1
994,-0.601048,0,0,0
995,0.558945,1,1,1
996,0.265771,1,1,1
997,0.03389,1,1,0
998,0.429046,0,1,0
999,-1.343633,0,1,0
1000,-0.069282,1,1,1
1001,-0.261248,1,1,0
1002,-0.709744,1,1,0
1003,-0.161119,1,1,1
1004,-0.246642,0,1,1
1005,0.223395,0,1,0
1006,-1.107415,0,0,0
1007,1.985617,0,1,1
1008,-0.529823,1,0,0
1009,0.291986,0,0,0
1010,1.040884,1,1,1
1011,-0.848465,0,0,0
1012,0.500435,0,0,0
1013,0.457922,1,1,1
1014,-0.510844,0,0,0
1015,-2.569233,0,0,0
1016,-0.450033,0,1,0
1017,0.025125,0,0,1
1018,-1.927212,0,0,0
1019,-1.427723,1,1,1
1020,-0.425789,0,1,0
1021,0.821438,1,1,1
1022,-2.443951,0,0,0
1023,-1.205452,1,0,1
1024,0.53638,1,1,1
1025,0.454365,0,0,0
1026,0.101525,0,0,1
1027,-0.702984,0,1,0
1028,-1.216159,1,0,0
1029,0.075518,0,0,1
1030,0.996253,1,1,1
1031,0.449467,1,1,0
1032,0.075831,1,1,0
1033,-1.547321,1,0,0
