id,score,treated,y
229,0.822536,1,7.780821
230,0.152243,1,4.215893
231,0.510311,1,7.679368
232,0.507373,1,7.527638
233,0.103451,1,6.992837
234,0.784998,1,8.208847
235,-0.464707,0,3.123375
236,0.05656,1,5.025505
237,0.585274,1,9.209498
238,0.783172,1,9.124474
239,-0.664367,0,2.038674
240,0.915419,1,9.432384
241,0.766967,1,9.147193
242,-0.357223,0,3.57193
243,0.111813,1,6.376776
244,-0.863489,0,1.59356
245,-0.686475,0,2.629965
246,-0.749445,0,1.21277
247,0.848825,1,8.629428
248,-0.704932,0,3.831086
249,-0.183429,0,3.483212
250,-0.622624,0,3.397536
251,-0.20933,0,4.519615
252,0.658749,1,8.994297
253,-0.065737,0,4.754363
254,-0.090964,0,4.134062
255,0.831297,1,9.967017
256,-0.051315,0,5.435677
257,0.660738,1,9.505319
258,-0.316513,0,2.89866
259,-0.025471,0,5.033005
260,-0.501348,0,5.066672
261,0.308299,1,7.140113
262,0.715905,1,10.192668
263,0.75035,1,8.68834
264,-0.52531,0,2.885759
265,0.360489,1,7.096916
266,-0.120823,0,5.181226
267,-0.19225,0,6.882575
268,0.028358,1,7.465246
269,0.140646,1,7.010229
270,0.266071,1,6.970071
271,-0.172939,0,3.902857
272,0.37765,1,8.401622
273,-0.516201,0,3.211145
274,0.404643,1,7.204265
275,0.355516,1,7.022343
276,0.627152,1,8.390158
277,-0.137502,0,4.028745
278,0.822244,1,10.184742
279,0.507287,1,6.892824
280,0.958949,1,10.008012
281,-0.772016,0,3.460445
282,0.025526,1,5.460881
283,-0.518877,0,1.972875
284,-0.576815,0,3.473792
285,-0.967468,0,1.593976
286,0.478367,1,8.249888
287,-0.362398,0,5.496926
288,0.879887,1,9.041867
289,0.258002,1,6.354165
290,-8.3e-05,0,6.411071
291,-0.548389,0,2.42371
292,0.569721,1,5.802751
293,0.945267,1,11.315925
294,0.987268,1,9.31273
295,0.933555,1,9.895826
296,0.365625,1,6.627128
297,0.658349,1,8.26737
298,0.52633,1,8.383555
299,0.778737,1,9.247692
300,-0.903987,0,0.998864
301,-0.19739,0,5.228296
302,0.206739,1,6.475622
303,-0.486889,0,5.54543
304,0.739743,1,9.028916
305,0.504992,1,7.34055
306,-0.350068,0,3.61002
307,0.491859,1,7.670047
308,-0.863967,0,0.942551
309,-0.547534,0,4.171668
310,0.762828,1,10.269586
311,-0.677003,0,2.046042
312,-0.322347,0,3.069385
313,0.257876,1,7.058791
314,-0.459193,0,4.171689
315,-0.543849,0,1.657713
316,-0.720885,0,2.208982
317,0.058322,1,6.23016
318,-0.471305,0,4.143169
319,-0.747163,0,3.384039
320,0.488721,1,8.845638
321,-0.657343,0,1.072044
322,0.487963,1,9.094749
323,0.714975,1,8.474115
324,-0.139708,0,3.910569
325,0.755306,1,8.70906
326,-0.522963,0,3.87211
327,-0.602826,0,1.905668
328,-0.648058,0,3.616348
329,0.497219,1,7.712725
330,-0.549676,0,1.904264
331,0.817442,1,10.181135
332,-0.879807,0,1.744535
333,0.934876,1,11.426698
334,0.496675,1,5.460182
335,0.543599,1,8.550445
336,-0.033864,0,4.429436
337,-0.679333,0,4.64589
338,-0.045159,0,5.071108
339,0.121409,1,6.30489
340,0.697237,1,5.892318
341,0.045171,1,5.963962
342,0.541084,1,6.952817
343,-0.661261,0,3.309338
344,-0.610506,0,2.306437
345,0.052844,1,4.812649
346,-0.265432,0,4.071844
347,-0.116672,0,4.268543
348,-0.266265,0,2.956031
349,-0.083435,0,5.16475
350,0.262199,1,6.478631
351,0.986564,1,8.526919
352,0.123827,1,8.575414
353,0.478535,1,8.70497
354,-0.396944,0,4.969225
355,-0.291894,0,3.36453
356,-0.429356,0,5.160168
357,0.251707,1,7.892468
358,-0.69803,0,3.430645
359,0.263799,1,7.497545
360,0.372292,1,6.854163
361,-0.321785,0,4.606026
362,-0.010241,0,5.654716
363,-0.236988,0,4.120195
364,-0.83575,0,2.797247
365,-0.087488,0,4.9515
366,0.696035,1,8.348697
367,-0.227012,0,4.517176
368,-0.923644,0,0.580862
369,0.395767,1,6.558118
370,-0.40127,0,4.877071
371,0.558969,1,7.110584
372,-0.468071,0,2.570878
373,-0.188715,0,5.998807
374,0.718469,1,9.388663
375,-0.555672,0,3.009095
376,-0.387862,0,4.871807
377,-0.109974,0,6.996297
378,-0.463352,0,4.60886
379,0.696765,1,7.952271
380,0.379757,1,7.565179
381,0.708583,1,9.037222
382,0.570113,1,8.40912
383,-0.739582,0,5.021748
384,0.037125,1,6.038074
385,0.036287,1,6.748006
386,0.068789,1,6.437579
387,0.558005,1,8.331557
388,-0.944994,0,0.937656
389,0.078128,1,5.4727
390,0.720634,1,8.94321
391,0.974207,1,11.395195
392,0.908418,1,8.923464
393,0.476425,1,9.468
394,0.232786,1,8.146157
395,-0.367169,0,4.515623
396,0.231951,1,6.814841
397,0.233919,1,6.440676
398,-0.552486,0,5.104274
399,-0.587441,0,4.450183
400,-0.375475,0,3.998549
401,-0.386067,0,4.226463
402,0.602171,1,7.490531
403,0.606491,1,8.474407
404,0.261923,1,6.760307
405,-0.062681,0,4.703058
406,-0.07012,0,4.093457
407,-0.687018,0,3.511326
408,-0.551656,0,2.836671
409,-0.733238,0,3.499073
410,-0.384539,0,5.144099
411,0.683344,1,7.860837
412,0.966256,1,10.74394
413,-0.491659,0,5.711929
414,-0.757134,0,1.454275
415,0.997939,1,12.166273
416,-0.211875,0,4.383508
417,-0.769331,0,1.73249
418,-0.751821,0,0.466705
419,-0.8822,0,1.555222
420,-0.72094,0,2.805471
421,0.224421,1,6.601422
422,-0.534228,0,5.530894
423,-0.898904,0,1.798624
424,-0.40907,0,5.202403
425,0.104645,1,8.272103
426,0.302088,1,7.176615
427,-0.338436,0,3.425985
428,0.402063,1,6.56634
429,0.371978,1,6.613264
430,-0.071218,0,4.747353
431,0.662015,1,7.140372
432,0.193179,1,8.795619
433,-0.259568,0,3.414386
434,-0.841628,0,3.402141
435,0.241975,1,5.055047
436,-0.094849,0,7.244643
437,-0.802158,0,2.310729
438,-0.431128,0,2.174607
439,0.697193,1,8.239454
440,0.985098,1,9.498721
441,-0.584289,0,2.968014
442,-0.577766,0,1.642011
443,-0.411061,0,3.270333
444,-0.831929,0,4.921774
445,0.383531,1,6.361862
446,-0.634302,0,3.07415
447,-0.087191,0,6.772254
448,-0.961483,0,2.65472
449,0.628605,1,8.696723
450,0.77497,1,8.071166
451,0.926656,1,7.789775
452,0.141748,1,5.976165
453,-0.85138,0,2.869965
454,-0.653898,0,2.893904
455,-0.392606,0,4.365664
456,-0.46616,0,2.90138
457,-0.965414,0,2.878421
458,-0.567494,0,3.114392
459,-0.947742,0,1.686437
460,0.129409,1,7.799397
461,-0.94127,0,-1.552759
462,0.327717,1,6.545443
463,-0.435154,0,1.534161
464,-0.839581,0,0.362387
465,-0.569567,0,2.301848
466,0.125934,1,7.110995
467,-0.710111,0,2.606122
468,-0.270842,0,4.67669
469,-0.116512,0,4.367959
470,0.119673,1,7.461324
471,-0.277132,0,4.99421
472,-0.538808,0,3.810614
473,0.288872,1,6.791409
474,0.864938,1,9.627628
475,0.720213,1,7.463221
476,0.774734,1,8.379202
477,-0.624113,0,0.332552
478,0.314678,1,6.252349
479,-0.035442,0,4.993144
480,0.428455,1,6.623642
481,-0.846207,0,2.547418
482,-0.793147,0,5.131695
483,0.784214,1,7.546019
484,-0.180183,0,5.885658
485,-0.074468,0,3.788773
486,0.413823,1,8.297264
487,0.434144,1,7.182144
488,-0.561912,0,3.245714
489,-0.48976,0,3.843766
490,-0.176545,0,5.445776
491,-0.542038,0,4.403278
492,0.263575,1,7.116657
493,0.557948,1,9.479159
494,0.185232,1,7.897186
495,-0.492523,0,5.103047
496,0.229051,1,7.571873
497,0.199048,1,5.927203
498,-0.731541,0,3.089532
499,-0.079485,0,5.170521
500,0.724468,1,8.245073
501,0.583947,1,8.020273
502,0.031244,1,6.609187
503,0.159555,1,6.21514
504,-0.131342,0,5.119155
505,-0.699315,0,2.650771
506,-0.055749,0,3.998101
507,0.348342,1,8.523134
508,0.584627,1,7.426291
509,-0.359755,0,5.706469
510,-0.122127,0,4.487827
511,-0.734199,0,3.886043
512,-0.878935,0,1.677616
513,0.415586,1,7.645433
514,0.561482,1,7.85555
515,-0.111986,0,2.013467
516,-0.873744,0,0.814167
517,-0.159954,0,5.782291
518,0.083168,1,5.998512
519,0.243676,1,6.691746
520,-0.974571,0,2.336077
521,-0.741479,0,4.172748
522,-0.00673,0,5.455911
523,0.275585,1,5.611893
524,0.928804,1,11.900821
525,0.889218,1,11.677211
526,0.841869,1,8.908304
527,-0.43905,0,1.766855
528,0.048708,1,7.747027
529,-0.929859,0,3.014411
530,0.867043,1,7.739306
531,0.166589,1,8.365833
532,-0.690743,0,4.233514
533,-0.325132,0,4.181382
534,0.476483,1,7.979523
535,-0.074987,0,6.392783
536,-0.268385,0,4.059647
537,-0.110041,0,4.13528
538,0.256786,1,7.395823
539,-0.872621,0,0.729113
540,0.375533,1,6.897953
541,-0.683135,0,3.194154
542,0.16649,1,6.770007
543,0.804402,1,9.367284
544,0.567849,1,9.702581
545,-0.917919,0,1.58005
546,-0.696396,0,4.363671
547,-0.412342,0,3.758413
548,0.006899,1,6.951788
549,0.668165,1,9.505112
550,-0.159067,0,5.472666
551,-0.953509,0,1.619178
552,-0.827631,0,3.780877
553,0.910828,1,7.576197
554,-0.192669,0,3.749649
555,0.399918,1,6.14296
556,-0.065964,0,4.579797
557,0.249941,1,5.916412
558,-0.593685,0,2.930955
559,-0.37783,0,4.232249
560,0.746837,1,8.903636
561,0.193866,1,7.25963
562,-0.634004,0,3.696837
563,-0.879765,0,4.603606
564,-0.487292,0,3.554488
565,-0.763201,0,2.113841
566,0.291607,1,8.418927
567,-0.106258,0,5.046905
568,-0.692115,0,4.198776
569,0.298265,1,5.568831
570,-0.927611,0,2.433598
571,0.126864,1,7.406642
572,0.430916,1,8.690873
573,0.535802,1,9.251123
574,-0.684502,0,2.645498
575,0.469862,1,8.826779
576,0.342733,1,8.046587
577,-0.031694,0,4.653625
578,0.310588,1,6.491126
579,-0.202096,0,4.704461
580,0.981457,1,8.687874
581,0.915687,1,9.36118
582,0.118051,1,6.053903
583,0.575805,1,8.408207
584,0.804041,1,7.743403
585,-0.6857,0,0.973207
586,-0.884181,0,1.184265
587,-0.14698,0,5.833385
588,-0.074133,0,6.636762
589,-0.023282,0,4.392407
590,-0.96719,0,1.17
591,-0.762572,0,3.170405
592,0.229469,1,6.516263
593,-0.326941,0,4.081705
594,-0.775956,0,1.685068
595,-0.192086,0,3.931236
596,0.633897,1,9.354272
597,-0.651174,0,2.147013
598,0.523188,1,8.495461
599,-0.042802,0,4.840241
600,0.303902,1,6.740111
601,0.741956,1,9.137751
602,-0.373494,0,4.452205
603,-0.728009,0,3.992456
604,0.972807,1,10.145729
605,0.789608,1,8.152679
606,0.23844,1,6.289271
607,0.220256,1,6.67106
608,0.871125,1,9.165548
609,0.868092,1,9.732444
610,0.872158,1,10.133279
611,0.185577,1,6.077481
612,-0.306127,0,3.665002
613,-0.707448,0,3.529219
614,0.66799,1,9.736715
615,0.524975,1,6.011932
616,0.93566,1,9.741767
617,-0.898689,0,3.366163
618,0.741019,1,7.534916
619,0.703341,1,7.177562
620,-0.314488,0,2.172327
621,-0.820145,0,0.758742
622,0.889015,1,11.273095
623,0.07147,1,5.930739
624,-0.549568,0,3.776351
625,-0.515426,0,4.063084
626,0.608113,1,10.300945
627,0.972581,1,8.902705
628,-0.013111,0,4.462217
629,-0.039237,0,5.473896
630,0.086645,1,5.806699
631,0.788186,1,9.679952
632,0.469865,1,8.599065
633,0.167747,1,6.372711
634,-0.588243,0,3.689049
635,0.816664,1,7.568377
636,0.79444,1,8.709524
637,0.873279,1,9.240354
638,-0.336452,0,3.24056
639,-0.316254,0,2.619266
640,-0.151153,0,3.860559
641,-0.107334,0,3.819873
642,0.15092,1,6.008586
643,0.954367,1,10.193617
644,0.282679,1,7.316857
645,-0.853792,0,1.965294
646,-0.754115,0,2.010295
647,0.95881,1,8.833368
648,0.465067,1,9.714538
649,0.27459,1,7.244081
650,-0.773769,0,3.729033
651,-0.937387,0,2.150902
652,0.46634,1,7.778926
653,0.200188,1,7.911495
654,-0.158676,0,4.468433
655,0.998043,1,10.730197
656,0.108402,1,6.724974
657,-0.876359,0,1.317047
658,0.821026,1,10.100532
659,-0.16181,0,5.686163
660,0.738559,1,8.327429
661,-0.944769,0,0.318784
662,0.386569,1,7.431961
663,0.253455,1,7.388144
664,-0.637703,0,2.312368
665,-0.081943,0,5.002176
666,0.992555,1,8.868009
667,-0.433864,0,2.908024
668,0.50617,1,7.487067
669,-0.219605,0,4.924117
670,0.729623,1,10.134799
671,0.418061,1,6.493971
672,0.182244,1,8.193616
673,0.719552,1,9.696595
674,0.115686,1,5.738674
675,0.002699,1,6.674733
676,0.351363,1,7.226191
677,-0.429647,0,3.614428
678,0.141763,1,6.516105
679,0.184901,1,7.647477
680,-0.560068,0,3.812543
681,0.406878,1,8.505121
682,-0.09057,0,4.47596
683,0.038993,1,9.112425
684,0.948198,1,12.919399
685,-0.651626,0,3.796518
686,0.849193,1,9.933964
687,0.242199,1,8.752555
688,0.995969,1,9.968065
689,-0.738393,0,3.263387
690,0.784202,1,7.601743
691,-0.082224,0,4.756708
692,0.186803,1,7.164372
693,-0.033389,0,4.103843
694,-0.351181,0,4.988986
695,-0.444235,0,3.180072
696,0.790371,1,8.01511
697,0.025243,1,7.483415
698,-0.399602,0,2.322775
699,0.539765,1,7.97999
700,-0.295536,0,3.085825
701,0.988641,1,8.973797
702,0.207934,1,7.166584
703,0.03039,1,7.882265
704,0.653807,1,7.134403
705,-0.970875,0,1.189137
706,0.941255,1,10.631065
707,0.880011,1,9.426688
708,0.907535,1,10.312767
709,-0.135967,0,4.147409
710,-0.270851,0,4.479499
711,-0.310842,0,5.67974
712,0.869617,1,8.348491
713,0.382232,1,6.874353
714,0.274626,1,6.397842
715,-0.976782,0,0.99172
716,0.201728,1,7.328051
717,0.806794,1,9.048776
718,-0.276517,0,4.083829
719,-0.11989,0,3.960524
720,-0.856555,0,3.781538
721,0.981407,1,9.087647
722,-0.277651,0,5.314725
723,0.250231,1,7.920704
724,0.936005,1,9.394218
725,-0.618318,0,3.871488
726,-0.798919,0,2.84904
727,0.255743,1,6.974432
728,0.068766,1,7.37556
729,0.299384,1,7.573565
730,-0.752954,0,4.528175
731,-0.521017,0,4.255119
732,-0.339986,0,4.601847
733,0.101891,1,4.615141
734,-0.913198,0,3.054991
735,0.873721,1,11.078686
736,0.599984,1,8.102129
737,0.617279,1,7.187106
738,-0.985388,0,2.847821
739,-0.931133,0,1.626664
740,-0.979635,0,1.39335
741,-0.19415,0,3.67246
742,0.19034,1,4.604393
743,-0.131693,0,3.148518
744,0.414347,1,7.167464
745,-0.14953,0,4.359294
746,-0.092215,0,4.733285
747,-0.979697,0,0.852556
748,-0.641465,0,1.665211
749,-0.275305,0,2.955502
750,-0.095863,0,4.643696
751,0.11022,1,8.53473
752,0.77604,1,9.393913
753,-0.346165,0,4.557596
754,0.268575,1,7.932711
755,-0.454844,0,4.711138
756,-0.155594,0,4.469684
757,0.398274,1,6.421085
758,-0.93196,0,-0.405475
759,0.239609,1,7.374436
760,0.041161,1,5.548551
761,-0.955789,0,1.57049
762,-0.806181,0,1.964613
763,-0.472394,0,5.243655
764,-0.514632,0,4.892767
765,0.896664,1,9.773036
766,0.51282,1,8.963207
767,-0.949869,0,0.838128
768,-0.23616,0,5.383737
769,0.107664,1,5.183801
770,0.339594,1,5.170458
771,-0.436329,0,2.858575
772,0.495582,1,8.396439
773,-0.586692,0,2.670376
774,-0.703335,0,2.561125
775,0.385392,1,5.597011
776,0.383145,1,8.160978
777,-0.709879,0,0.912852
778,-0.706238,0,3.207824
779,0.783061,1,10.409542
780,0.076548,1,4.871151
781,0.62575,1,6.805594
782,-0.670087,0,1.768793
783,-0.535877,0,4.465328
784,-0.747129,0,2.225194
785,-0.460177,0,4.309335
786,-0.258888,0,5.812
787,-0.998277,0,0.951252
788,0.082701,1,6.275658
789,0.770895,1,10.503359
790,0.329782,1,7.915195
791,-0.620242,0,2.351737
792,-0.84038,0,0.857439
793,0.367428,1,6.660834
794,0.710505,1,8.066245
795,-0.745213,0,3.328491
796,-0.061527,0,4.360489
797,0.093205,1,6.27801
798,-0.098739,0,5.440434
799,-0.820655,0,1.88037
800,0.787027,1,8.535901
801,0.293241,1,7.789159
802,0.509123,1,7.442232
803,-0.743812,0,4.207092
804,0.995201,1,13.589195
805,-0.823892,0,2.47849
806,0.247745,1,6.773642
807,-0.916146,0,2.812967
808,-0.140112,0,5.036125
809,0.97583,1,11.357404
810,0.481132,1,7.521012
811,0.033695,1,6.340634
812,0.587086,1,8.972222
813,0.361484,1,7.406533
814,-0.695697,0,2.396408
815,0.870507,1,11.34154
816,0.044537,1,5.729684
817,-0.658934,0,4.367732
818,-0.33167,0,5.446169
819,0.462666,1,9.790631
820,-0.656704,0,2.458726
821,-0.521925,0,3.726509
822,-0.763362,0,2.637212
823,0.941502,1,8.999313
824,0.356538,1,9.045206
825,0.751152,1,9.001502
826,-0.649953,0,3.341012
827,0.205257,1,5.456157
828,-0.476123,0,4.782655
829,-0.876048,0,2.093906
830,0.852201,1,11.244589
831,0.878488,1,8.695179
832,0.385422,1,7.076381
833,-0.323992,0,4.276725
834,0.531831,1,4.715459
835,0.055023,1,6.614619
836,-0.435355,0,4.53268
837,0.592193,1,8.254294
838,-0.300632,0,5.020655
839,-0.629836,0,2.267493
840,0.337248,1,6.701848
841,-0.639142,0,4.557791
842,0.750833,1,9.318672
843,0.387928,1,7.869286
844,-0.058415,0,5.46541
845,-0.636868,0,3.405186
846,-0.870092,0,3.764666
847,-0.30909,0,2.53091
848,-0.7044,0,2.236343
849,0.709383,1,8.306479
850,0.752587,1,9.400011
851,0.999597,1,9.762264
852,-0.179293,0,6.355517
853,0.881638,1,8.834899
854,0.914951,1,10.381074
855,0.889878,1,10.212147
856,-0.174789,0,4.58868
857,0.768344,1,9.105592
858,0.77659,1,10.76977
859,0.117555,1,8.133874
860,0.311384,1,9.947691
861,0.408574,1,7.66721
862,0.101995,1,5.309547
863,-0.233767,0,4.246697
864,0.659093,1,8.708677
865,-0.191714,0,4.717895
866,-0.601321,0,3.929064
867,0.427109,1,7.098117
868,-0.011124,0,5.992331
869,0.429685,1,7.618156
870,-0.637488,0,3.106153
871,0.545616,1,8.732962
872,0.080217,1,9.317352
873,-0.909419,0,-0.290098
874,-0.05892,0,5.507293
875,0.405097,1,9.432754
876,0.902378,1,10.749924
877,0.771308,1,10.300473
878,0.141462,1,6.107086
879,-0.639944,0,3.135319
880,0.538612,1,8.726988
881,0.960244,1,10.000833
882,-0.072387,0,3.815544
883,0.557308,1,9.65462
884,0.938778,1,10.521568
885,0.722925,1,8.636156
886,0.218176,1,6.098352
887,0.64286,1,7.509051
888,-0.549805,0,3.378091
889,-0.939866,0,-0.937521
890,-0.65035,0,3.393795
891,0.276978,1,5.202462
892,0.133057,1,5.474592
893,0.515824,1,7.076466
894,0.332305,1,7.6569
895,-0.930312,0,4.034044
896,0.462757,1,8.327587
897,0.292136,1,5.997292
898,-0.646582,0,3.689974
899,-0.880944,0,1.786868
900,0.845429,1,10.723631
901,-0.27805,0,5.66511
902,0.200193,1,6.289816
903,-0.172205,0,6.15935
904,-0.814628,0,3.0134
905,0.816864,1,8.871031
906,0.712774,1,8.088203
907,0.113151,1,7.105153
908,0.917971,1,9.932592
909,0.748459,1,9.990091
910,-0.914373,0,1.590707
911,-0.114253,0,4.957584
912,-0.943754,0,1.828981
913,0.783469,1,8.412558
914,-0.491413,0,1.775875
915,0.294288,1,5.772206
916,-0.436061,0,3.837382
917,-0.611199,0,3.942797
918,-0.539234,0,4.149412
919,-0.803044,0,3.194745
920,-0.408933,0,3.116529
921,0.761695,1,11.259488
922,-0.554336,0,2.723093
923,-0.343781,0,3.082484
924,-0.530588,0,3.836763
925,0.731038,1,7.488348
926,0.755405,1,8.550152
927,-0.334889,0,3.551835
928,-0.755468,0,3.211878
929,-0.985923,0,1.261431
930,0.263496,1,6.848912
931,0.909057,1,9.523597
932,0.300908,1,7.557166
933,-0.350279,0,4.352869
934,-0.363977,0,4.795507
935,-0.438929,0,5.277749
936,0.000109,1,7.256534
937,0.720076,1,8.794469
938,0.298589,1,6.3354
939,0.740382,1,7.034617
940,0.251398,1,7.080224
941,0.128478,1,7.488056
942,0.971802,1,8.928825
943,-0.050562,0,5.660204
944,-0.909055,0,2.022557
945,-0.31842,0,4.369554
946,0.329158,1,6.431716
947,-0.096933,0,5.855149
948,0.695793,1,7.108927
949,0.309558,1,6.223661
950,-0.361658,0,5.62996
951,-0.618306,0,2.91648
952,0.750392,1,8.716738
953,-0.833098,0,3.333767
954,-0.670762,0,2.421151
955,0.901247,1,9.495206
956,0.521862,1,9.604499
957,0.220037,1,8.643098
958,0.523198,1,7.357002
959,-0.394471,0,3.357909
960,0.107946,1,6.12561
961,0.045936,1,6.63553
962,-0.17046,0,5.644158
963,0.486802,1,8.226889
964,0.182806,1,6.844701
