id,exposed,covariate,outcome
217,1,1.562757,1
218,1,0.21984,0
219,1,0.154713,0
220,0,-0.215892,0
221,0,0.17034,1
222,1,1.100349,1
223,0,-0.085008,0
224,1,1.028335,1
225,1,1.814617,0
226,1,1.544093,0
227,0,0.51107,0
228,1,0.86784,1
229,0,-0.472925,0
230,1,-0.572656,1
231,1,-0.162029,1
232,0,-0.448533,0
233,0,-2.396046,0
234,1,-0.32194,1
235,0,1.678171,1
236,1,0.744958,1
237,0,0.361313,0
238,1,0.436793,1
239,0,-0.230077,0
240,0,-0.240816,0
241,0,0.208413,0
242,1,0.211449,0
243,1,0.515562,1
244,0,-0.716736,0
245,0,-0.670531,0
246,0,1.46481,0
247,0,0.336521,0
248,0,-0.278805,0
249,0,0.829502,0
250,1,1.301753,0
251,0,-1.270387,0
252,0,-1.121302,0
253,1,0.390351,0
254,1,0.040551,1
255,1,0.182097,0
256,0,0.215544,0
257,1,0.866545,0
258,0,-0.316514,0
259,0,-0.770441,0
260,1,2.024347,1
261,1,0.949238,0
262,1,0.451173,0
263,1,0.411181,1
264,1,0.42126,0
265,0,0.884886,1
266,0,-1.149096,0
267,1,0.432545,0
268,0,0.474197,0
269,1,-1.483121,0
270,1,1.126766,0
271,0,0.702803,0
272,1,0.878242,1
273,0,-0.589461,0
274,1,-0.308632,0
275,1,1.412328,0
276,0,0.411448,0
277,0,0.401563,0
278,0,1.079718,0
279,0,-0.738508,0
280,0,-1.286098,0
281,0,-0.789196,1
282,1,1.641295,0
283,0,0.969307,1
284,0,-0.189555,0
285,1,0.030315,0
286,0,0.156963,0
287,0,0.290923,0
288,1,-0.006252,1
289,1,-0.166263,0
290,1,0.497102,1
291,0,-0.133075,0
292,1,1.18016,0
293,1,1.797492,1
294,1,-0.210943,1
295,1,1.827919,0
296,0,-0.272031,0
297,0,-1.24546,0
298,1,-0.232673,0
299,0,0.963707,1
300,1,-0.095042,0
301,1,0.310185,0
302,0,0.586836,0
303,0,1.035729,0
304,1,1.497838,0
305,1,0.409612,0
306,1,-1.311742,0
307,0,-0.519258,0
308,0,0.491933,1
309,0,-0.666991,0
310,0,-0.47628,0
311,0,0.286286,1
312,0,-0.484767,0
313,1,2.32444,1
314,1,1.34619,0
315,0,-0.048092,0
316,0,-0.552992,1
317,0,-1.017806,0
318,0,-1.214788,0
319,0,-0.216585,0
320,0,-0.635718,0
321,0,-0.183428,0
322,1,-0.806357,1
323,0,-0.877973,0
324,1,-0.281062,0
325,1,-0.15873,0
326,1,1.093567,1
327,0,-0.427995,0
328,0,1.671252,0
329,0,-0.587984,0
330,0,-2.142058,0
331,1,1.737384,0
332,1,0.202264,1
333,1,1.081701,1
334,1,-0.312566,0
335,0,-1.460894,0
336,1,1.308044,0
337,1,0.25568,1
338,0,-0.652268,0
339,0,-1.043477,1
340,0,-1.170181,0
341,1,0.285259,0
342,0,-1.183857,0
343,0,-1.819184,0
344,1,0.128348,1
345,1,1.075572,0
346,0,-2.54096,0
347,1,2.365531,1
348,1,0.538576,0
349,0,-0.666654,0
350,1,0.834472,0
351,0,-0.377828,0
352,0,0.009381,0
353,1,2.222544,1
354,1,1.052054,0
355,0,-1.009709,0
356,0,-1.652466,0
357,1,1.283888,0
358,1,0.895074,1
359,0,0.460381,1
360,0,-2.155585,0
361,0,1.84258,0
362,1,0.457554,0
363,1,-0.841112,0
364,1,-1.000819,0
365,0,-0.412293,0
366,0,-0.847006,0
367,1,0.043615,0
368,0,-0.708295,0
369,0,0.18492,1
370,0,0.059648,1
371,0,-1.205048,0
372,1,1.071661,1
373,0,-0.80864,0
374,1,0.821615,0
375,1,-1.756332,0
376,0,-0.20247,0
377,0,-0.174165,0
378,1,1.763106,1
379,0,-0.688428,0
380,0,-0.193487,0
381,0,-1.740447,0
382,1,-0.428846,0
383,0,-1.128195,0
384,0,-1.662767,0
385,0,0.631207,0
386,0,-1.722019,0
387,1,2.690502,1
388,0,-0.458115,1
389,0,-0.983413,0
390,1,-0.611162,0
391,1,1.523891,0
392,0,-0.95125,0
393,0,1.354634,0
394,0,0.856703,0
395,1,-1.046873,0
396,0,-1.055411,0
397,0,-2.057303,0
398,1,0.501962,1
399,0,-2.051458,0
400,1,0.840983,0
401,0,0.637439,0
402,1,0.921393,0
403,0,0.297367,0
404,0,-1.026941,0
405,0,0.028389,0
406,0,-0.905345,1
407,0,-1.26028,0
408,0,-0.07026,0
409,0,-0.519004,0
410,1,0.103352,0
411,0,-0.333375,0
412,0,-2.065453,0
413,0,0.313128,0
414,1,-0.940868,0
415,0,-0.314767,0
416,1,0.937096,0
417,0,0.296086,1
418,0,0.911054,1
419,1,-0.178115,1
420,0,1.107767,0
421,0,-0.122661,0
422,1,-0.111541,1
423,0,-0.122975,1
424,1,0.138803,0
425,0,-1.365118,0
426,0,-1.347899,0
427,1,1.243269,1
428,0,0.477697,0
429,0,-0.172985,1
430,1,1.439947,0
431,1,-2.212497,0
432,0,-0.106819,0
433,1,-0.315284,0
434,1,-1.301287,1
435,1,0.176907,1
436,0,-0.498585,1
437,0,-1.713911,0
438,0,1.316016,0
439,0,-0.377256,0
440,1,0.304301,0
441,0,1.570854,0
442,0,0.906789,0
443,0,-2.723636,0
444,1,-0.705065,0
445,0,-0.152748,0
446,1,-0.523918,0
447,0,0.191289,0
448,0,-1.328789,0
449,0,-1.092295,0
450,1,0.524372,1
451,1,-0.469276,0
452,1,1.24013,1
453,0,0.791963,1
454,0,-0.047572,0
455,0,0.039128,0
456,0,-0.459404,0
457,0,0.68267,1
458,0,-0.591963,0
459,1,-0.245645,0
460,1,2.650144,0
461,1,0.827166,0
462,0,0.588498,0
463,1,-0.213384,0
464,1,-1.36756,1
465,1,2.003556,0
466,0,-0.022178,0
467,0,-0.458135,1
468,0,1.878117,1
469,0,0.353996,0
470,0,-0.881239,0
471,0,-0.29815,0
472,0,-0.330775,0
473,0,-0.642012,0
474,1,-0.134458,0
475,0,-2.247808,0
476,0,1.390451,1
477,0,-1.175049,0
478,0,-0.085678,1
479,0,-1.893713,0
480,1,0.032235,0
481,1,1.668298,0
482,0,-1.117044,0
483,1,0.298359,0
484,0,-0.875087,0
485,0,0.923603,0
486,1,1.320466,1
487,0,0.155127,1
488,1,-1.264526,0
489,1,-0.401538,0
490,1,1.633651,1
491,1,1.144276,1
492,0,-0.424116,0
493,1,0.413185,0
494,1,1.025353,0
495,1,-0.804722,0
496,0,-0.694646,1
497,1,-0.604805,1
498,0,1.628489,1
499,0,-0.329858,0
500,0,-0.416834,0
501,0,-0.33463,0
502,0,-1.838253,0
503,0,0.047935,0
504,0,-0.426803,0
505,0,-0.991317,0
506,0,0.610466,0
507,0,-2.389727,0
508,1,0.793713,0
509,0,0.078648,0
510,1,2.341246,1
511,1,0.335168,1
512,1,1.072894,0
513,0,-0.407834,1
514,1,2.009809,0
515,0,0.206955,0
516,0,0.067313,0
517,1,0.732204,0
518,1,1.192989,0
519,1,1.521861,0
520,1,0.41733,0
521,1,0.207973,0
522,0,-0.826588,0
523,1,-1.139127,0
524,1,1.06152,0
525,0,-0.532125,0
526,0,-1.181,0
527,1,-0.838025,0
528,0,-0.783083,0
529,0,0.852061,0
530,0,1.024249,1
531,0,-1.70037,0
532,0,-1.114455,0
533,0,-1.675087,0
534,1,-0.642619,0
535,0,-1.085071,0
536,0,-0.433672,0
537,0,-1.380286,1
538,1,-0.653517,0
539,0,0.064521,0
540,0,-1.051393,0
541,0,0.507688,0
542,1,0.433759,0
543,0,-1.935365,0
544,1,1.045318,0
545,0,-1.755073,0
546,1,0.277034,0
547,0,-0.941167,1
548,0,-1.261881,0
549,0,-0.79352,0
550,1,-0.974768,0
551,1,0.665603,0
552,0,-0.372091,0
553,0,0.481989,0
554,0,-1.465844,1
555,1,0.427533,0
556,1,0.373422,1
557,0,-1.886566,0
558,1,-0.403522,0
559,1,0.574286,1
560,0,-0.783202,1
561,1,-0.795212,0
562,1,-1.062411,0
563,1,0.800306,0
564,0,-1.12044,0
565,1,1.236818,0
566,0,-0.517643,0
567,1,-1.746106,0
568,1,1.190537,0
569,1,-1.224021,0
570,0,1.216001,1
571,0,-0.168668,0
572,0,-1.074496,0
573,0,-0.168966,0
574,0,-1.550903,0
575,0,0.096882,0
576,0,-0.338215,1
577,0,0.594806,0
578,0,0.770703,1
579,0,-0.482972,0
580,1,-0.613209,0
581,1,0.234889,0
582,0,-0.050461,0
583,0,-1.462872,0
584,1,0.987869,0
585,0,-0.781265,0
586,1,1.145992,1
587,0,0.388096,1
588,0,-1.543203,0
589,0,-2.229997,0
590,1,1.490066,1
591,0,0.365873,0
592,1,-0.111189,0
593,1,-1.741116,1
594,1,0.40304,1
595,0,-0.217389,0
596,1,3.55359,1
597,1,-0.029588,0
598,1,-0.099662,1
599,0,1.21264,0
600,0,0.193402,0
601,1,1.440111,1
602,1,2.023726,0
603,0,-1.007912,0
604,1,1.061578,0
605,0,0.470659,0
606,1,0.556065,1
607,0,0.613586,0
608,0,-0.859388,0
609,0,0.191184,0
610,0,0.385325,0
611,0,-0.455405,0
612,0,-0.806859,0
613,0,-0.285852,0
614,0,-0.256386,0
615,1,1.658554,0
616,1,0.803145,1
617,0,-0.529884,0
618,1,0.772265,0
619,1,0.619561,0
620,0,-0.226431,1
621,1,0.893573,1
622,0,-0.978621,1
623,0,0.814773,0
624,1,0.987467,1
625,0,0.289491,0
626,0,-1.251312,0
627,1,1.737211,1
628,0,0.882563,0
629,0,1.122177,1
630,1,0.066502,0
631,0,0.514144,0
632,0,-0.060004,0
633,1,1.121561,0
634,1,-0.207378,0
635,0,-0.037536,0
636,1,-1.099254,1
637,0,0.015666,0
638,1,-1.236516,0
639,0,-1.491103,0
640,1,0.018397,0
641,1,-0.05035,0
642,1,-0.368213,1
643,1,-0.647065,0
644,0,-0.887586,0
645,0,-1.00006,0
646,1,-0.096293,0
647,1,0.283413,0
648,0,-0.990169,0
649,0,-0.831156,0
650,0,-0.762995,1
651,0,0.468976,1
652,0,0.369448,0
653,0,-0.494174,0
654,0,1.332546,0
655,0,-0.323201,0
656,1,0.544854,0
657,0,-1.818583,0
658,0,-1.129983,0
659,0,-1.856108,0
660,1,2.395132,0
661,0,0.264319,0
662,0,-0.189092,0
663,0,-0.958433,1
664,1,0.904063,1
665,1,-0.856189,0
666,1,-0.889968,1
667,0,-1.116436,0
668,0,-0.099349,0
669,0,0.693143,0
670,0,-2.235977,0
671,1,0.62757,0
672,0,0.039838,1
673,1,-0.721669,0
674,1,1.121874,0
675,1,1.224925,1
676,0,-1.750902,0
677,1,0.332992,0
678,1,0.913634,1
679,0,-0.785466,0
680,1,0.769865,1
681,0,-0.122978,0
682,0,0.743285,0
683,1,0.759452,0
684,0,-0.339473,0
685,1,1.576357,0
686,0,-0.528559,1
687,1,-0.341801,1
688,0,-0.373546,0
689,0,-1.926117,0
690,1,0.027993,0
691,0,0.203513,0
692,0,0.121166,0
693,0,-1.04354,0
694,1,0.684428,1
695,0,-1.332246,0
696,1,-2.748856,0
697,0,-1.330931,1
698,0,-1.620768,0
699,1,1.216059,1
700,0,-1.697485,0
701,1,0.98942,0
702,1,0.514755,0
703,1,-1.242932,0
704,0,1.04452,0
705,0,0.868613,0
706,1,0.447737,0
707,0,0.256669,0
708,0,0.190158,0
709,1,1.385392,1
710,0,-0.187714,1
711,1,-0.14172,0
712,0,-0.82297,0
713,0,-0.219546,0
714,0,-0.280993,0
715,1,1.281355,1
716,0,-0.752252,0
717,0,0.466097,0
718,0,-0.833224,0
719,1,1.732289,0
720,1,0.14994,0
721,1,0.121989,1
722,0,-0.783757,0
723,0,-0.727546,1
724,0,0.535812,1
725,1,1.067116,1
726,0,0.195247,0
727,0,-0.347205,0
728,1,1.05615,0
729,1,0.959015,0
730,0,-1.344471,0
731,1,0.548289,0
732,0,0.685946,0
733,0,-0.277066,0
734,1,0.520326,0
735,1,-0.216461,0
736,0,0.097666,0
737,1,2.065486,1
738,1,1.229199,0
739,0,-1.908662,0
740,1,-0.243422,1
741,1,3.062428,1
742,0,-1.418007,0
743,0,-1.620873,0
744,0,1.357475,0
745,0,-1.177981,0
746,1,1.372703,1
747,0,0.999712,0
748,0,1.084294,1
749,1,0.537966,1
750,1,0.820417,0
751,0,-0.904092,1
752,1,0.083312,0
753,0,-0.338676,1
754,0,1.954222,0
755,0,-0.649228,0
756,1,0.971961,0
757,0,-1.73642,0
758,0,0.403543,0
759,1,0.258621,1
760,0,-0.741102,0
761,1,0.466389,0
762,0,0.196131,0
763,0,-1.421975,0
764,0,-0.464513,0
765,1,1.177309,0
766,1,-0.5594,0
767,1,-0.644893,0
768,1,0.976815,0
769,1,0.151396,0
770,0,0.865461,0
771,0,0.290921,0
772,0,-1.15246,0
773,0,-1.185422,0
774,1,-0.987126,0
775,1,-0.232046,0
776,0,-0.486147,0
777,1,-0.030706,0
778,0,-0.468686,1
779,0,-1.006005,0
780,0,-2.130578,0
781,0,0.316919,0
782,1,1.555489,1
783,0,-0.91207,0
784,0,0.266999,0
785,1,1.153168,0
786,1,0.157985,0
787,0,-0.756492,0
788,1,1.479649,1
789,0,-0.632689,0
790,1,0.099779,1
791,0,-1.493328,0
792,0,-1.798621,0
793,0,0.767806,0
794,0,1.188122,0
795,0,0.69614,0
796,0,-1.170463,0
797,1,1.085031,0
798,0,-0.754058,0
799,1,0.213324,1
800,0,-1.291553,0
801,0,-0.052412,0
802,1,0.489257,0
803,0,-1.760101,0
804,0,-1.2265,0
805,0,-1.717265,0
806,0,-1.986375,0
807,0,-0.509455,0
808,0,0.177007,0
809,1,0.427206,1
810,1,-0.560529,0
811,1,-0.08302,1
812,1,1.280529,0
813,0,-0.419329,0
814,1,0.853589,0
815,0,0.018911,0
816,0,-0.638574,0
817,1,-0.513108,1
818,1,0.178843,0
819,0,0.055959,0
820,0,0.446201,0
821,0,-1.674069,0
822,1,0.740986,1
823,0,0.003031,0
824,0,-0.743958,0
825,0,-0.410457,0
826,0,0.057438,0
827,0,0.286735,0
828,0,-1.152105,0
829,0,0.130993,0
830,0,0.291109,0
831,0,0.484767,0
832,0,0.206695,0
833,0,0.684687,0
834,0,-0.366661,0
835,0,-1.339409,0
836,0,-1.034182,0
837,1,1.008887,0
838,0,0.096358,1
839,0,0.767093,1
840,1,-0.941834,0
841,0,0.242085,0
842,0,0.334655,0
843,1,0.949351,0
844,1,1.269727,0
845,1,-1.388075,0
846,0,0.540458,0
847,1,1.674835,0
848,0,-0.179138,0
849,0,-1.614114,0
850,0,-1.606469,0
851,0,-0.561752,0
852,1,0.631799,0
853,0,0.37031,1
854,0,1.128588,0
855,0,0.20513,0
856,1,-0.070811,0
857,0,0.985049,0
858,1,1.389234,0
859,1,0.284772,0
860,0,-0.484714,0
861,0,-1.821577,0
862,0,-0.779872,1
863,1,-0.152634,0
864,1,0.087193,1
865,0,-1.708182,0
866,1,1.658809,1
867,1,0.976012,0
868,0,-0.478303,0
869,1,1.302844,0
870,0,-1.30034,0
871,0,0.454796,0
872,1,-0.475614,1
873,0,-1.248969,1
874,0,-1.073122,0
875,0,-0.584411,0
876,1,1.926993,1
877,0,0.572777,0
878,1,0.043814,1
879,1,0.63132,1
880,0,-1.458183,0
881,1,0.968617,0
882,0,-1.401881,0
883,0,-0.065733,0
884,0,-0.595382,0
885,0,0.273882,1
886,1,1.698667,0
887,0,-1.143385,1
888,0,-0.651403,0
889,1,-0.120679,1
890,1,-0.690298,0
891,0,-0.463907,1
892,1,0.557777,1
893,1,-1.170045,0
894,0,0.362864,0
895,0,0.119118,0
896,0,0.350932,1
897,1,-0.012023,0
898,0,-2.216288,0
899,1,-0.209109,0
900,0,-0.454322,0
901,1,-0.920802,1
902,1,1.561062,0
903,0,0.0863,0
904,0,-0.259893,0
905,1,0.289382,1
906,1,0.332856,0
907,1,1.569407,1
908,1,-0.340767,0
909,1,-0.227536,0
910,1,0.397037,1
911,0,-0.320813,0
912,1,1.47364,1
913,0,-0.291186,0
914,1,0.661752,1
915,1,0.21231,0
916,1,0.335947,0
917,1,0.162537,1
918,1,0.246356,0
919,1,0.967983,1
920,1,0.25361,0
921,1,0.441786,0
922,0,-0.316434,1
923,1,-0.039972,1
924,0,0.046889,0
925,0,-0.396997,0
926,1,-0.44121,0
927,0,2.230884,0
928,1,0.496024,0
929,1,-0.237159,1
930,1,0.098538,0
931,0,-0.023608,0
932,0,-0.772259,0
933,0,0.250562,0
934,1,1.585493,1
935,0,0.161702,0
936,0,-0.392239,0
937,0,0.898632,0
938,1,-0.123275,1
939,0,1.377639,0
940,0,-0.87877,0
941,0,-1.291038,0
942,0,0.592211,0
943,0,-0.330199,0
944,0,-0.477297,0
945,0,0.533972,0
946,0,-0.309087,0
947,1,1.023037,0
948,1,0.785229,0
949,0,0.475841,0
950,0,-0.793444,0
951,0,0.604962,0
952,0,-0.142882,0
953,0,-1.260272,0
954,0,0.321464,0
955,0,-0.086266,0
956,0,-0.882718,0
957,0,1.498778,1
958,0,-1.402281,0
959,1,-0.035516,0
960,0,-0.194585,0
961,0,-0.488423,0
962,1,0.621132,0
963,0,-1.097423,1
964,0,-1.896628,0
965,0,0.373065,0
966,0,-0.193056,0
967,1,1.646073,1
968,1,1.035622,1
969,1,1.195899,0
970,0,-0.053866,0
971,1,0.838333,1
972,0,0.743784,0
973,1,-0.645388,0
974,1,1.376852,1
975,1,0.49715,1
976,0,0.416036,0
977,1,-0.574997,0
978,0,-0.777651,0
979,1,0.05247,0
980,1,-0.287642,0
981,0,-0.66863,1
982,1,0.294492,0
983,1,1.508015,1
984,0,0.392165,1
985,0,-0.315112,0
986,1,-0.842256,0
987,1,1.086485,0
988,1,1.757686,1
989,1,-1.488356,0
990,1,2.01018,0
991,0,-0.629046,1
992,1,1.333652,0
993,0,0.112971,0
994,1,-0.009134,0
995,1,0.332729,0
996,0,-0.429777,0
997,1,-0.790697,0
998,0,0.776883,0
999,1,0.933797,1
1000,1,0.723914,1
1001,0,0.774349,0
1002,0,-0.177104,0
1003,1,0.615959,0
1004,1,-0.190402,0
1005,1,2.862732,0
1006,0,-0.413779,0
1007,0,-0.431121,0
1008,0,-0.076307,0
1009,1,2.594534,1
1010,1,0.602027,1
1011,0,-2.121225,0
1012,0,-0.225791,0
1013,0,1.045446,0
1014,0,-0.308397,1
1015,1,0.207992,0
1016,0,0.236794,0
1017,0,-1.423624,0
1018,0,-1.659365,0
1019,0,-0.791366,0
1020,0,1.068602,0
1021,1,0.812624,0
1022,1,0.349313,0
1023,0,-0.168959,0
1024,0,-0.244433,0
1025,1,0.400157,0
1026,0,-0.387549,1
1027,1,0.612923,1
1028,1,0.637632,1
1029,1,0.141102,0
1030,0,-2.105755,0
1031,0,-0.040059,0
1032,0,0.520417,0
1033,0,0.503458,0
1034,1,0.834619,1
1035,1,0.195232,0
1036,0,-1.110802,0
1037,1,0.700632,1
1038,0,0.68167,0
1039,1,2.01649,0
1040,0,0.162083,1
1041,1,0.206485,0
1042,1,0.901887,1
1043,0,-1.444517,0
1044,0,0.942032,0
1045,1,0.190519,0
1046,1,-0.358491,1
1047,0,-0.676645,0
1048,0,0.993801,0
1049,1,-0.832543,1
1050,0,-1.246406,0
1051,1,1.374271,1
1052,0,0.121725,0
1053,0,-0.304045,0
1054,0,0.870012,0
1055,0,-3.008248,0
1056,1,-1.612237,1
1057,0,0.250239,0
1058,1,-0.712404,0
1059,0,-1.294455,0
1060,1,-0.129565,1
1061,0,-0.711934,0
1062,1,-0.21276,0
1063,1,0.388583,0
1064,0,-0.027416,0
1065,0,-1.174915,0
1066,0,-0.284977,0
1067,0,-0.380744,0
1068,1,0.731209,1
1069,1,1.393839,0
1070,0,-1.392483,0
1071,0,-2.421644,0
1072,0,-0.20941,0
1073,1,-0.433471,0
1074,0,-0.403074,0
1075,0,0.328297,0
1076,1,1.073656,0
1077,1,1.211873,1
1078,1,0.54804,1
1079,0,1.430215,0
1080,0,-0.056101,0
1081,0,1.200142,0
1082,1,0.508968,1
1083,1,-0.14143,1
1084,1,1.766434,0
1085,0,0.034524,0
1086,0,-2.262358,0
1087,0,0.329011,1
1088,0,-0.923874,0
1089,1,-0.222949,1
1090,1,2.862733,0
1091,0,-0.501282,0
1092,0,0.40352,0
1093,1,-2.220718,0
1094,1,-0.044999,0
1095,1,1.195964,1
1096,0,-1.26817,0
1097,0,-1.406888,0
1098,1,-0.140799,0
1099,1,1.199103,0
1100,1,-0.018474,0
1101,0,-0.372841,0
1102,1,-0.800136,0
1103,1,0.742613,1
1104,0,-1.095832,0
1105,1,0.11034,1
1106,0,0.883075,0
1107,0,-2.656616,0
1108,0,-1.418909,0
1109,1,0.436091,0
1110,0,0.648431,1
1111,0,-0.138798,0
1112,0,0.824668,0
1113,1,-0.928415,1
1114,0,1.004771,0
1115,0,-1.671195,0
1116,1,0.432264,1
1117,1,0.996711,0
1118,0,-1.4675,0
1119,0,0.481816,0
1120,1,-0.736134,1
1121,1,0.990572,1
1122,0,0.956432,0
1123,0,0.528578,0
1124,0,-1.04295,0
1125,0,-1.209239,0
1126,0,-0.834784,0
1127,1,-1.10172,0
1128,0,-0.393252,0
1129,1,-1.308599,0
1130,0,-0.844938,0
1131,1,-0.236861,0
1132,0,-1.04654,0
1133,0,0.021641,0
1134,0,-0.237394,0
1135,1,1.868544,1
1136,0,-1.525847,0
1137,1,1.310943,0
1138,1,1.166641,0
1139,0,-0.988778,0
1140,1,1.392862,0
1141,0,1.203337,1
1142,0,-0.561701,0
1143,1,0.952668,1
1144,1,2.088199,1
1145,0,-0.395756,1
1146,0,0.440191,0
1147,0,0.255594,1
1148,1,-0.740682,0
1149,1,0.129524,0
1150,0,-0.598183,1
1151,0,-0.084207,0
1152,1,-0.10534,0
1153,0,0.51332,0
1154,1,1.012548,1
1155,0,-0.821638,0
1156,0,-1.365398,0
1157,1,-0.672726,0
1158,0,-2.254755,0
1159,0,-0.366815,1
1160,1,-0.929897,1
1161,0,0.518954,0
1162,0,0.514456,0
1163,0,-1.689701,0
1164,1,0.359621,1
1165,1,-0.922962,1
1166,0,0.302445,0
1167,1,0.908569,0
1168,0,-0.438551,0
1169,0,-1.891558,0
1170,0,-0.500702,0
1171,1,-0.068924,0
1172,0,0.425438,0
1173,1,0.099218,0
1174,1,0.094303,0
1175,1,-0.332597,0
1176,0,0.100663,0
1177,1,-0.461341,0
1178,0,-0.654798,0
1179,0,2.142595,0
1180,1,0.83678,1
1181,1,-0.229651,0
1182,1,0.501325,1
1183,1,0.690586,1
1184,0,-1.700641,0
1185,0,-1.731579,0
1186,0,0.864039,1
1187,1,0.425144,0
1188,0,-1.611666,0
1189,0,-1.032615,0
1190,1,1.320085,0
1191,0,0.949425,0
1192,0,-0.451179,0
1193,0,-1.669872,0
1194,0,-0.904047,0
1195,1,-0.521891,0
1196,1,-0.196078,0
