id,followup_years,events
340,0.5364,0
341,1.0829,0
342,4.3438,0
343,4.2138,0
344,4.4867,0
345,3.0319,2
346,4.8838,1
347,2.679,0
348,1.0281,0
349,2.8013,0
350,4.3661,0
351,4.5297,0
352,1.0893,0
353,1.3203,0
354,1.5328,0
355,3.7025,0
356,0.9424,0
357,3.2946,1
358,3.8497,0
359,0.552,0
360,1.6309,0
361,0.5498,1
362,3.0502,0
363,2.3388,0
364,2.7236,0
365,4.0155,0
366,1.0966,0
367,2.7978,0
368,1.899,0
369,4.8394,0
370,0.5387,0
371,0.7045,0
372,0.5309,0
373,0.7344,0
374,4.5941,0
375,2.7207,0
376,3.0116,0
377,2.7205,0
378,2.258,0
379,2.7823,0
380,3.2959,0
381,1.2172,0
382,0.9293,0
383,1.2972,0
384,2.7696,0
385,1.855,0
386,0.5879,0
387,2.6108,0
388,4.7486,0
389,3.8556,0
390,2.2561,1
391,2.814,1
392,2.6809,1
393,0.8026,0
394,2.6981,0
395,4.2164,0
396,1.498,0
397,0.6871,0
398,2.4008,1
399,0.994,0
400,2.7115,0
401,1.0155,0
402,3.1867,0
403,4.8915,1
404,3.464,0
405,3.6665,1
406,1.1731,0
407,0.5906,0
408,1.3017,1
409,1.6715,0
410,2.2118,1
411,2.4661,1
412,3.7668,0
413,3.3412,0
414,0.6654,0
415,1.9572,0
416,1.417,0
417,0.8449,0
418,1.3668,0
419,4.3643,1
420,1.0734,0
421,4.9041,0
422,1.6419,0
423,1.3185,0
424,3.7747,1
425,3.6215,1
426,3.6181,0
427,2.3918,0
428,2.6741,0
429,4.4311,1
430,1.0105,0
431,2.7581,0
432,3.0895,0
433,3.3702,0
434,2.6226,0
435,1.5917,0
436,3.2322,0
437,2.4331,1
438,3.9659,1
439,2.4883,0
440,0.636,0
441,2.8537,0
442,0.5632,0
443,4.3998,0
444,2.4203,0
445,2.0475,1
446,3.4574,1
447,1.331,0
448,1.4074,0
449,3.0753,0
450,3.7202,0
451,1.2186,0
452,2.6872,1
453,0.6386,0
454,0.5573,0
455,0.6523,0
456,2.0186,4
457,4.2356,0
458,1.2922,0
459,1.8595,0
460,2.9656,0
461,1.9203,0
462,1.7124,0
463,4.652,0
464,3.7718,2
465,3.1476,0
466,0.8548,0
467,1.3403,0
468,4.5454,1
469,1.6547,0
470,4.122,1
471,4.887,1
472,1.374,0
473,0.5746,0
474,3.8289,0
475,2.1586,0
476,0.6237,0
477,0.9209,0
478,1.4143,0
479,4.2413,0
480,3.0815,0
481,4.3873,0
482,2.0144,0
483,3.18,0
484,3.293,0
485,1.5476,1
486,3.1058,0
487,3.3965,0
488,1.3585,0
489,1.6234,0
490,2.9605,0
491,3.0974,0
492,0.9673,0
493,1.7793,0
494,4.9582,0
495,0.7394,0
496,1.9223,0
497,3.2024,0
498,2.9136,0
499,1.8052,0
500,4.8137,1
501,2.3044,0
502,4.8881,2
503,1.8637,0
504,1.5891,1
505,1.5719,0
506,1.5544,0
507,3.2301,0
508,3.5665,2
509,4.3134,1
510,0.5392,1
511,1.7308,0
512,1.1803,0
513,3.0644,0
514,1.2712,0
515,0.8587,0
516,1.3949,0
517,3.4873,1
518,2.0812,0
519,0.6908,0
520,3.9817,0
521,4.9858,1
522,3.2714,0
523,1.9374,0
524,0.8045,0
525,1.6581,0
526,2.9189,1
527,2.0161,0
528,3.6144,0
529,1.0685,0
530,2.2061,0
531,3.3585,0
532,4.8734,1
533,3.68,0
534,1.126,0
535,4.7756,2
536,3.4767,2
537,4.1459,0
538,1.3297,0
539,1.6627,0
540,4.6781,1
541,1.3899,0
542,2.1631,1
543,2.2346,0
544,2.3218,0
545,3.2928,1
546,4.4797,0
547,2.2265,0
548,4.9597,2
549,3.2563,0
550,0.596,0
551,2.9588,0
552,1.0102,0
553,3.0256,1
554,3.9749,1
555,1.9302,1
556,3.9436,1
557,4.6838,0
558,0.6038,0
559,4.3392,0
560,4.7398,1
561,0.6438,0
562,2.6868,0
563,4.2025,0
564,2.7327,0
565,2.1093,0
566,0.6096,0
567,2.4331,0
568,0.5957,0
569,2.8923,0
570,3.4956,0
571,4.1733,0
572,0.6008,0
573,2.0332,1
574,0.7639,1
575,3.3762,0
576,2.0471,0
577,2.0174,0
578,4.705,0
579,1.0839,1
580,3.8375,0
581,2.8083,0
582,2.8097,0
583,0.6829,0
584,1.3339,0
585,4.8361,1
586,2.7922,1
587,0.7493,0
588,1.269,1
589,2.6384,1
590,2.7495,0
591,1.6072,0
592,1.6354,0
593,2.9067,1
594,3.1613,1
595,4.335,0
596,0.6208,0
597,3.3028,0
598,0.6494,0
599,3.597,0
600,4.5689,2
