hospital,quarter,adopter,post,policy,los
10,3,1,0,0,8.235426
10,4,1,0,0,9.880826
10,5,1,1,1,9.650312
10,6,1,1,1,8.811944
10,7,1,1,1,8.357768
10,8,1,1,1,9.726851
11,1,1,0,0,8.136895
11,2,1,0,0,7.860007
11,3,1,0,0,8.750747
11,4,1,0,0,7.413195
11,5,1,1,1,7.292555
11,6,1,1,1,7.422535
11,7,1,1,1,8.349215
11,8,1,1,1,9.365608
12,1,1,0,0,9.745351
12,2,1,0,0,9.781873
12,3,1,0,0,11.359641
12,4,1,0,0,11.375417
12,5,1,1,1,11.130134
12,6,1,1,1,10.792491
12,7,1,1,1,11.42711
12,8,1,1,1,11.625881
13,1,1,0,0,7.03028
13,2,1,0,0,8.218117
13,3,1,0,0,6.82659
13,4,1,0,0,9.269189
13,5,1,1,1,7.599953
13,6,1,1,1,9.004579
13,7,1,1,1,8.938953
13,8,1,1,1,9.80954
14,1,1,0,0,7.926037
14,2,1,0,0,10.860202
14,3,1,0,0,11.788978
14,4,1,0,0,9.402573
14,5,1,1,1,9.248522
14,6,1,1,1,9.347055
14,7,1,1,1,10.022493
14,8,1,1,1,11.916429
15,1,1,0,0,8.799947
15,2,1,0,0,10.63484
15,3,1,0,0,10.178888
15,4,1,0,0,10.01584
15,5,1,1,1,10.617459
15,6,1,1,1,10.920553
15,7,1,1,1,11.394327
15,8,1,1,1,11.50571
16,1,1,0,0,8.331825
16,2,1,0,0,9.344856
16,3,1,0,0,9.742795
16,4,1,0,0,10.54185
16,5,1,1,1,7.311478
16,6,1,1,1,7.721021
16,7,1,1,1,8.351786
16,8,1,1,1,9.533862
17,1,1,0,0,9.979724
17,2,1,0,0,10.060724
17,3,1,0,0,10.341174
17,4,1,0,0,9.508399
17,5,1,1,1,10.347369
17,6,1,1,1,9.250437
17,7,1,1,1,11.829716
17,8,1,1,1,11.44807
18,1,1,0,0,7.003351
18,2,1,0,0,7.872295
18,3,1,0,0,8.634517
18,4,1,0,0,7.046642
18,5,1,1,1,7.033592
18,6,1,1,1,7.821762
18,7,1,1,1,8.950278
18,8,1,1,1,9.062177
19,1,1,0,0,8.906028
19,2,1,0,0,9.547767
19,3,1,0,0,9.870424
19,4,1,0,0,10.738203
19,5,1,1,1,9.516315
19,6,1,1,1,9.737084
19,7,1,1,1,12.379328
19,8,1,1,1,11.72257
20,1,1,0,0,8.668987
20,2,1,0,0,10.578733
20,3,1,0,0,10.610649
20,4,1,0,0,10.63
20,5,1,1,1,9.506256
20,6,1,1,1,9.668069
20,7,1,1,1,11.099267
20,8,1,1,1,11.43969
21,1,0,0,0,4.359361
21,2,0,0,0,6.107021
21,3,0,0,0,8.361437
21,4,0,0,0,6.284995
21,5,0,1,0,6.845659
21,6,0,1,0,6.849275
21,7,0,1,0,8.322112
21,8,0,1,0,9.557221
22,1,0,0,0,5.894731
22,2,0,0,0,5.37879
22,3,0,0,0,5.4697
22,4,0,0,0,7.000502
22,5,0,1,0,7.076981
22,6,0,1,0,6.495388
22,7,0,1,0,9.093672
22,8,0,1,0,7.526382
23,1,0,0,0,8.52534
23,2,0,0,0,6.753059
23,3,0,0,0,8.978684
23,4,0,0,0,8.688593
23,5,0,1,0,8.428968
23,6,0,1,0,9.571895
23,7,0,1,0,8.92886
23,8,0,1,0,10.255245
24,1,0,0,0,7.408644
24,2,0,0,0,7.327019
24,3,0,0,0,8.542508
24,4,0,0,0,9.578948
24,5,0,1,0,9.361623
24,6,0,1,0,9.310222
24,7,0,1,0,10.646928
24,8,0,1,0,9.455449
25,1,0,0,0,8.753804
25,2,0,0,0,9.637738
25,3,0,0,0,10.81431
25,4,0,0,0,8.865885
25,5,0,1,0,10.91013
25,6,0,1,0,10.438123
25,7,0,1,0,10.85179
25,8,0,1,0,11.479172
26,1,0,0,0,6.953956
26,2,0,0,0,5.959942
26,3,0,0,0,7.779683
26,4,0,0,0,8.291881
26,5,0,1,0,7.665541
26,6,0,1,0,8.749556
26,7,0,1,0,9.491254
26,8,0,1,0,9.181965
27,1,0,0,0,6.057916
27,2,0,0,0,6.768957
27,3,0,0,0,6.09635
27,4,0,0,0,7.269511
27,5,0,1,0,7.831557
27,6,0,1,0,7.680552
27,7,0,1,0,7.79358
27,8,0,1,0,9.127848
28,1,0,0,0,6.439234
28,2,0,0,0,6.161078
28,3,0,0,0,6.265535
28,4,0,0,0,8.146736
28,5,0,1,0,7.384812
28,6,0,1,0,7.80866
28,7,0,1,0,9.268971
28,8,0,1,0,8.823279
29,1,0,0,0,6.569143
29,2,0,0,0,7.492139
29,3,0,0,0,7.842084
29,4,0,0,0,8.740948
29,5,0,1,0,9.046805
29,6,0,1,0,8.521247
29,7,0,1,0,9.856711
29,8,0,1,0,8.964894
30,1,0,0,0,5.582474
30,2,0,0,0,6.825448
30,3,0,0,0,6.457776
30,4,0,0,0,8.664941
30,5,0,1,0,7.516964
30,6,0,1,0,7.381784
30,7,0,1,0,8.612256
30,8,0,1,0,9.588803
31,1,0,0,0,7.246376
31,2,0,0,0,7.575928
31,3,0,0,0,7.701521
31,4,0,0,0,8.971775
31,5,0,1,0,10.76655
31,6,0,1,0,9.225345
31,7,0,1,0,7.977719
31,8,0,1,0,10.870662
32,1,0,0,0,5.702576
32,2,0,0,0,5.412757
32,3,0,0,0,7.017548
32,4,0,0,0,6.59756
32,5,0,1,0,8.522622
32,6,0,1,0,7.833432
32,7,0,1,0,7.76689
32,8,0,1,0,8.454025
33,1,0,0,0,7.018342
33,2,0,0,0,7.108052
33,3,0,0,0,6.11351
33,4,0,0,0,6.190572
33,5,0,1,0,8.886557
33,6,0,1,0,8.741638
33,7,0,1,0,9.106302
33,8,0,1,0,8.779926
34,1,0,0,0,6.390326
34,2,0,0,0,7.693404
34,3,0,0,0,7.696744
34,4,0,0,0,7.409755
34,5,0,1,0,9.102865
34,6,0,1,0,9.301977
34,7,0,1,0,9.20117
34,8,0,1,0,10.824693
35,1,0,0,0,9.105569
35,2,0,0,0,7.538803
35,3,0,0,0,8.426797
35,4,0,0,0,8.268878
35,5,0,1,0,8.004216
35,6,0,1,0,8.695361
35,7,0,1,0,11.005095
35,8,0,1,0,8.70051
36,1,0,0,0,5.72595
36,2,0,0,0,6.231474
36,3,0,0,0,5.752087
36,4,0,0,0,7.28574
36,5,0,1,0,6.313283
36,6,0,1,0,5.571495
36,7,0,1,0,9.240802
36,8,0,1,0,9.536706
37,1,0,0,0,5.770961
37,2,0,0,0,6.176116
37,3,0,0,0,7.306238
37,4,0,0,0,8.243466
37,5,0,1,0,7.666206
37,6,0,1,0,7.981456
37,7,0,1,0,8.443921
37,8,0,1,0,7.680612
38,1,0,0,0,4.884372
38,2,0,0,0,5.843606
38,3,0,0,0,8.375311
38,4,0,0,0,8.475073
38,5,0,1,0,7.209725
38,6,0,1,0,8.504211
38,7,0,1,0,9.067846
38,8,0,1,0,9.437598
39,1,0,0,0,7.519652
39,2,0,0,0,7.972879
39,3,0,0,0,8.331237
39,4,0,0,0,9.841679
39,5,0,1,0,8.959588
39,6,0,1,0,9.997509
39,7,0,1,0,11.566071
39,8,0,1,0,10.287974
40,1,0,0,0,4.50578
40,2,0,0,0,4.421092
40,3,0,0,0,4.632302
40,4,0,0,0,6.56847
40,5,0,1,0,6.224368
40,6,0,1,0,5.191683
40,7,0,1,0,6.908408
40,8,0,1,0,6.736273
