id,treated,l,event
131,1,-0.636822,
132,0,-0.847432,0
133,0,0.176009,0
134,1,0.459759,0
135,1,-1.429301,0
136,0,-0.566766,0
137,0,0.60634,0
138,0,-0.256481,0
139,1,0.601468,0
140,0,1.678457,
141,0,-1.02302,1
142,0,-0.618824,0
143,1,-1.508098,0
144,0,0.465603,
145,0,1.118997,
146,0,-0.077936,1
147,0,1.257753,1
148,1,-0.327749,0
149,0,-2.806201,0
150,1,0.877048,0
151,0,1.532792,0
152,1,0.706562,1
153,0,0.355658,1
154,0,0.610808,0
155,1,-0.379957,0
156,0,1.088077,
157,0,1.509609,
158,1,-0.224754,1
159,0,0.813433,
160,0,-0.253356,0
161,0,0.313051,
162,1,0.399323,0
163,1,-1.119355,0
164,0,1.222416,
165,1,0.23689,0
166,0,-0.589472,
167,0,-0.884643,0
168,0,-0.972025,0
169,0,-1.725632,0
170,1,-1.359396,0
171,1,-0.364719,0
172,0,-0.303343,0
173,0,-0.76524,0
174,0,-0.120294,0
175,0,-2.95403,0
176,1,1.577081,
177,1,0.616714,0
178,1,-0.511377,0
179,1,-0.816963,0
180,1,-1.122328,0
181,0,-0.644111,0
182,0,0.019905,0
183,1,-0.078119,1
184,0,0.622244,
185,0,-0.856902,0
186,1,0.25938,0
187,0,0.044486,0
188,0,-0.440673,0
189,1,-1.057646,1
190,0,-0.700784,0
191,1,-0.620487,0
192,1,0.171247,0
193,1,0.252367,1
194,0,0.500802,
195,1,-0.380044,0
196,0,-0.059274,1
197,1,0.305886,0
198,0,-1.319255,0
199,1,-1.054102,0
200,0,0.739442,0
201,1,-1.213082,0
202,1,1.90313,
203,0,0.732694,1
204,0,1.699482,1
205,1,-0.188758,1
206,1,0.296817,1
207,1,-0.836814,0
208,0,0.610281,1
209,1,-0.082995,0
210,1,1.150346,1
211,0,1.620533,
212,1,-0.210955,1
213,0,-2.287746,0
214,1,1.208418,1
215,0,-0.693832,0
216,0,0.862756,
217,0,-1.921962,0
218,1,-0.70994,0
219,0,-0.895406,0
220,1,-1.721141,0
221,1,0.580249,1
222,0,0.2845,
223,1,0.30656,1
224,0,0.718643,1
225,0,-0.975937,0
226,1,0.526918,0
227,1,1.533648,0
228,0,-0.30067,
229,1,0.549759,0
230,0,-0.941337,0
231,1,-0.301492,
232,0,-1.263661,0
233,0,0.225753,1
234,1,0.36495,1
235,1,0.430074,0
236,0,-0.031061,1
237,0,0.574198,1
238,1,0.376445,0
239,1,-1.165573,0
240,0,0.214774,1
241,1,3.094906,
242,1,-0.207389,0
243,0,0.524395,1
244,0,-1.778289,0
245,1,-1.972893,0
246,0,-1.120338,0
247,1,0.696327,0
248,1,-0.536072,0
249,1,-1.119301,0
250,0,-0.37049,0
251,0,1.07821,
252,0,0.041415,
253,0,-1.575132,0
254,0,-1.957999,0
255,1,2.104013,
256,1,0.617116,
257,1,2.441069,1
258,0,-1.868746,0
259,0,1.600992,
260,1,-1.210395,0
261,0,1.047975,0
262,0,0.404488,0
263,1,1.242575,
264,1,-0.121611,1
265,1,-1.405196,0
266,0,-1.369395,0
267,0,-0.426264,1
268,1,0.866324,1
269,1,-1.919609,0
270,0,-0.435537,0
271,1,0.500356,0
272,0,0.959008,
273,0,-1.388385,0
274,0,0.751095,1
275,1,1.286515,0
276,0,0.186059,
277,1,-1.326357,0
278,0,2.184215,
279,1,-0.251646,0
280,0,-0.338388,0
281,1,1.592884,
282,1,-0.602082,0
283,0,0.142407,1
284,1,-0.958289,0
285,1,1.968247,
286,0,0.892147,
287,1,0.866868,0
288,1,-0.731472,0
289,1,0.960254,0
290,0,0.154807,1
291,0,1.47319,
292,0,-0.776431,1
293,0,-0.511225,0
294,1,1.096686,0
295,1,-0.298362,0
296,0,0.934537,
297,0,0.052489,1
298,0,-1.83829,0
299,1,-0.655118,0
300,1,0.646504,0
301,0,-1.357028,0
302,1,0.218113,0
303,0,0.555652,1
304,1,-1.175926,0
305,0,0.120431,0
306,1,0.050458,
307,0,0.400156,1
308,1,-0.072317,0
309,0,-3.035201,
310,1,-0.99396,0
311,1,0.368175,0
312,0,2.52832,
313,0,0.79778,1
314,1,0.811603,0
315,0,-0.917084,0
316,0,0.310022,
317,1,-0.925218,0
318,1,-0.816135,0
319,0,1.5242,
320,0,0.639754,1
321,1,-0.533315,0
322,0,0.295155,1
323,0,-1.714949,0
324,1,-1.129162,0
325,1,-0.423316,0
326,0,0.342089,0
327,1,0.937114,1
328,1,-0.942969,0
329,0,0.942429,1
330,1,-1.671013,0
331,0,-0.135481,1
332,0,-0.85377,0
333,0,-0.477823,0
334,1,1.173317,0
335,0,0.106922,1
336,1,1.031137,0
337,1,-0.214208,0
338,0,-0.686013,0
339,1,-0.546169,0
340,1,-2.091584,0
341,1,1.337771,
342,1,0.567985,0
343,1,0.409823,0
344,0,2.312552,
345,1,-3.298992,0
346,0,1.617865,0
347,1,0.899024,1
348,0,-0.808664,1
349,1,0.285087,1
350,1,0.015414,
351,0,0.616424,0
352,1,0.001122,0
353,1,1.914602,1
354,0,0.183723,1
355,1,0.025598,0
356,0,-0.880377,0
357,1,-0.169784,0
358,1,-0.782275,0
359,0,0.088059,1
360,1,-0.167566,0
361,0,-1.190421,1
362,1,-0.328024,1
363,0,2.782451,
364,1,-0.21975,1
365,0,0.039117,0
366,1,1.534512,
367,1,-0.573425,0
368,1,0.264821,0
369,0,0.711791,1
370,0,0.587211,0
371,1,0.621656,0
372,1,-1.36952,0
373,1,-1.163282,0
374,0,-0.175321,0
375,1,-1.746624,0
376,1,1.534986,1
377,1,-0.670708,0
378,1,0.613126,0
379,0,1.149963,
380,0,-1.451217,0
381,1,0.64722,0
382,0,0.736865,
383,1,1.506755,1
384,1,-1.122575,0
385,1,2.774656,
386,1,-1.038273,0
387,1,0.880625,
388,1,1.568986,1
389,0,0.673566,0
390,1,-2.626196,0
391,1,-0.512314,0
392,0,0.478046,1
393,0,-0.552551,0
394,1,2.060236,1
395,1,-1.128225,0
396,1,1.237441,1
397,0,1.006513,
398,0,0.1862,0
399,1,0.509158,0
400,1,-1.30404,0
401,0,-1.154894,0
402,1,-1.283579,0
403,0,-0.43193,
404,0,0.68874,
405,1,0.390859,0
406,1,0.257224,0
407,0,1.831119,
408,0,-1.987123,0
409,1,-0.676548,1
410,0,-0.785454,1
411,0,1.145941,
412,1,-0.580834,1
413,0,-1.00124,0
414,0,-0.199988,0
415,1,0.030787,1
416,1,-0.530523,0
417,1,0.238243,0
418,0,0.358125,0
419,0,-0.927904,0
420,0,-1.22978,0
421,1,0.949557,1
422,0,0.652447,0
423,1,-0.03592,0
424,0,-1.104137,1
425,1,-0.180867,0
426,1,0.570674,0
427,0,-1.407894,0
428,0,-0.094351,
429,1,-0.755304,0
430,0,1.349316,
431,1,0.883484,1
432,0,-0.534163,0
433,1,0.402624,0
434,1,0.271498,0
435,1,-0.086922,0
436,0,0.253988,1
437,1,-1.104113,0
438,1,-0.345739,0
439,1,-0.897214,0
440,1,1.61895,0
441,0,0.744295,1
442,0,0.193915,0
443,1,-0.572598,0
444,1,0.44485,1
445,1,0.187867,
446,0,-0.415707,0
447,1,1.59357,0
448,1,0.820281,
449,0,0.07475,0
450,0,1.235286,
451,1,-1.797935,0
452,0,1.879407,
453,0,1.241027,1
454,0,-2.622968,0
455,0,-0.777217,0
456,1,1.8542,0
457,1,1.080988,1
458,1,0.229142,1
459,0,0.694308,
460,0,1.405306,
461,1,0.669574,1
462,0,-0.1722,
463,1,-0.929526,0
464,0,0.895845,
465,1,0.971933,1
466,0,1.088117,
467,1,-0.202306,0
468,0,-2.38723,0
469,1,-0.984325,0
470,0,1.133085,1
471,0,0.510582,
472,1,0.061387,0
473,1,-0.462454,0
474,1,-1.752777,0
475,0,0.996281,1
476,1,0.162663,1
477,0,1.330807,
478,0,1.052492,
479,1,-0.117538,0
480,0,0.36787,0
481,0,-0.807096,0
482,1,-0.196706,0
483,1,1.003725,0
484,0,0.667438,0
485,0,-0.568275,0
486,0,-0.275563,0
487,0,1.612475,
488,0,-0.021796,0
489,1,-0.441987,0
490,0,0.110754,
491,1,-0.548174,0
492,0,2.502895,
493,1,-2.000693,0
494,0,1.276941,
495,0,-1.690245,0
496,0,-0.974487,0
497,0,-0.435725,0
498,1,0.421632,0
499,0,0.125498,0
500,1,-0.546477,0
501,0,0.483107,0
502,1,0.928103,
503,1,0.397248,1
504,1,-1.415326,0
505,1,-0.556479,0
506,1,-0.822835,0
507,1,-0.963514,1
508,0,-0.683311,0
509,0,-1.886394,0
510,1,-0.197526,0
511,0,0.441495,
512,1,1.407392,
513,1,0.665622,0
514,0,-0.942838,0
515,0,-0.051303,0
516,1,1.547869,
517,0,-0.749906,0
518,0,0.13717,1
519,1,-0.190091,1
520,1,1.129798,1
521,0,0.305868,
522,0,-0.026411,
523,1,-1.035277,0
524,1,0.841104,0
525,1,1.525098,
526,0,0.804917,
527,1,-0.086395,0
528,0,-0.85919,0
529,0,-0.501718,
530,1,0.056516,0
531,1,0.117809,0
532,1,-0.283018,0
533,0,-0.299927,0
534,1,-1.423086,0
535,0,-2.161763,0
536,0,0.133005,0
537,0,0.35193,0
538,1,1.153334,
539,1,1.153099,0
540,1,0.567033,0
541,0,-0.068913,1
542,1,-2.052628,0
543,1,0.579082,0
544,1,1.203892,1
545,0,0.974288,1
546,0,0.307535,1
547,1,-0.096098,0
548,1,-1.66675,0
549,1,-1.034585,0
550,1,-0.034819,0
551,0,0.660211,
552,0,0.197387,0
553,0,1.435921,0
554,1,-0.750599,0
555,0,-1.210163,0
556,1,-1.043433,0
557,0,0.04197,1
558,1,-0.836107,0
559,1,1.578786,1
560,0,0.43564,1
561,0,0.377887,0
562,1,-1.376138,0
563,0,-1.04392,0
564,0,-1.012769,0
565,1,-0.256809,0
566,1,0.012897,1
567,1,0.247941,1
568,0,-0.15301,0
569,0,-1.195781,0
570,1,0.143075,0
571,1,0.982393,0
572,0,1.374213,
573,0,1.134225,
574,1,0.027159,0
575,1,1.14032,1
576,1,0.085724,0
577,0,-0.474962,0
578,1,-0.198362,0
579,1,-0.248836,0
580,0,0.279197,
581,1,1.056869,1
582,0,-0.684447,0
583,1,2.169869,
584,0,0.060475,0
585,0,-1.138526,0
586,1,0.298817,1
587,0,-1.413893,0
588,0,1.621885,
589,1,0.85663,0
590,0,-1.174567,0
591,1,-1.12123,0
592,0,1.004396,0
593,1,0.356618,1
594,1,1.794358,
595,0,0.241206,
596,0,0.475547,0
597,1,-1.13851,
598,1,0.89214,
599,0,1.013099,1
600,0,-0.420735,0
601,0,0.147941,1
602,1,0.785771,1
603,0,-0.409318,1
604,0,1.088507,
605,0,0.017974,
606,1,0.481108,1
607,1,0.581377,0
608,0,-0.1823,0
609,0,1.896734,
610,0,1.026506,1
611,1,0.61646,0
612,0,-1.276399,0
613,0,-0.38488,0
614,1,-1.109076,0
615,0,0.752282,0
616,0,0.620945,
617,0,0.865937,0
618,0,-0.435057,0
619,0,1.325404,
620,0,1.279526,
621,1,-0.269896,0
622,0,-0.541038,0
623,0,1.305729,1
624,1,-0.942807,0
625,1,1.287662,0
626,0,0.677737,
627,0,-1.306338,0
628,0,0.342583,
629,1,-2.225188,0
630,1,-1.387777,0
631,1,1.605203,1
632,1,0.043803,0
633,0,1.038345,1
634,1,0.929178,
635,0,-1.654164,0
636,0,0.47845,
637,0,1.165948,
638,1,1.238052,1
639,0,1.335237,1
640,0,-1.952007,0
641,1,-0.324363,0
642,1,1.29966,
643,1,0.131453,0
644,0,0.677057,0
645,1,-0.475683,0
646,0,-2.269563,0
647,1,0.268129,0
648,0,0.138526,0
649,0,-1.961358,0
650,0,-1.488693,0
651,1,0.124831,0
652,0,-0.673597,0
653,1,-0.16899,0
654,0,-1.783086,0
655,0,-0.585787,0
656,0,-1.119622,0
657,0,-0.066141,0
658,1,0.908761,
659,0,-0.050069,0
660,1,-0.344706,0
661,1,-0.132218,1
662,0,1.112077,
663,1,1.705258,0
664,1,-0.490215,0
665,1,0.027005,0
666,1,-1.573648,0
667,0,0.920734,
668,1,-0.60053,0
669,0,-1.38672,0
670,1,-0.722765,0
671,0,-0.159656,
672,1,-0.308918,0
673,0,0.572444,
674,1,0.406465,0
675,1,-1.66842,0
676,0,-0.08403,0
677,0,1.274957,
678,0,1.705013,1
679,1,0.042927,0
680,1,0.562267,0
681,0,-0.708814,0
682,1,-2.383063,0
683,1,-0.909888,
684,0,1.073678,0
685,0,-1.508806,0
686,0,-0.226435,0
687,0,1.123313,1
688,1,-0.34433,0
689,1,0.625025,0
690,0,-0.624943,0
691,1,-0.864572,0
692,1,1.196852,0
693,1,1.376255,1
694,0,0.27733,0
695,1,0.40751,0
696,1,-0.342626,1
697,1,-0.932785,0
698,0,-0.724392,0
699,1,0.702287,1
700,0,-0.299345,1
701,0,-1.623097,0
702,1,-0.698215,0
703,1,0.402319,0
704,0,1.187699,
705,1,0.234801,1
706,0,-0.164692,0
707,0,2.806599,
708,1,1.228802,
709,0,-0.04797,0
710,1,-1.099688,0
711,0,0.305914,1
712,0,0.293476,
713,0,-1.951125,0
714,1,0.229613,0
715,1,0.229055,0
716,0,1.389307,
717,0,-1.298495,0
718,0,-0.090329,0
719,0,0.018296,
720,1,-0.227991,1
721,0,-0.59419,1
722,1,-0.078518,0
723,1,0.336443,0
724,1,1.576866,1
725,0,-0.048209,0
726,0,0.746548,1
727,0,-0.46762,0
728,0,-0.982658,0
729,0,-0.282668,
730,0,0.169001,0
731,1,0.794927,1
732,0,0.025679,0
733,1,-0.000517,0
734,0,-0.060133,0
735,0,0.436885,0
736,0,0.465677,
737,0,-0.028925,
738,0,1.154725,
739,0,0.522351,
740,0,0.932649,
741,0,0.429069,1
742,1,0.702192,0
743,1,-1.349191,0
744,1,-0.71716,0
745,0,0.078619,1
746,1,0.296921,0
747,1,0.911214,
748,0,1.770796,
749,0,-0.447164,0
750,1,-0.554548,0
751,1,-0.212414,0
752,0,-0.791212,
753,1,-0.053316,0
754,1,0.454705,0
755,0,-0.823176,0
756,0,-0.051647,0
757,0,-0.167419,0
758,1,-1.013766,0
759,0,-3.170133,0
760,0,0.538932,0
761,0,-1.055946,
762,1,0.929739,0
763,0,0.16261,0
764,1,-0.80221,0
765,1,-1.47206,0
766,1,-1.3502,0
767,1,0.206301,0
768,0,0.366485,
769,0,0.139831,0
770,0,0.419133,0
771,1,-0.12725,0
772,1,-0.530529,0
773,0,-0.448449,0
774,1,-0.131086,0
775,0,0.016589,0
776,0,-1.165255,0
777,0,-0.348983,
778,1,-0.438267,0
779,1,0.359838,0
780,0,1.055534,1
781,1,-0.496135,1
782,1,0.952097,0
783,0,-1.904006,0
784,0,0.880642,1
785,1,0.840513,0
786,1,0.22721,0
787,0,0.922654,
788,1,0.966136,0
789,1,-0.65137,0
790,0,0.925689,
791,0,-1.604708,0
792,1,1.25267,0
793,1,-1.193488,0
794,0,-0.082705,
795,0,-1.270005,0
796,1,-0.828808,0
797,1,-0.103762,0
798,0,0.188943,0
799,1,-1.412872,0
800,0,-0.073287,0
801,1,0.349147,1
802,0,-1.26783,0
803,1,-1.185726,
804,0,-0.700806,0
805,1,0.252868,0
806,1,1.084422,0
807,1,0.517929,0
808,0,-0.473083,0
809,1,0.175377,0
810,0,-1.07194,0
811,0,0.088348,0
812,0,-1.826271,
813,0,0.384251,1
814,0,0.319006,0
815,1,-0.878957,0
816,1,1.041177,1
817,0,0.243623,
818,1,0.417329,0
819,1,-0.126937,0
820,1,0.768128,1
821,0,-1.230373,0
822,1,1.303492,1
823,0,1.59401,
824,1,0.731986,
825,1,1.679122,1
826,1,0.13661,0
827,1,-0.495641,0
828,1,0.355362,0
829,1,0.851638,1
830,0,-1.01667,1
831,0,0.864358,1
832,1,-1.67214,0
833,0,-1.183869,0
834,1,-0.478881,0
835,0,1.395513,
836,1,1.213051,
837,1,0.298181,0
838,1,-0.006552,0
839,1,-1.742023,0
840,1,0.128123,0
841,0,1.037558,
842,1,0.365141,0
843,1,1.253963,
844,1,-1.328221,0
845,0,-0.485824,
846,0,-1.58617,0
847,0,1.161617,
848,1,-1.053317,0
849,0,0.808263,0
850,1,-0.835043,0
851,0,0.93703,
852,1,0.69822,0
853,0,0.586615,0
854,0,0.638617,0
855,0,-1.026549,1
856,1,0.916758,0
857,1,0.789644,0
858,1,-0.40599,0
859,1,0.850447,0
860,0,-1.189779,0
861,0,0.989042,1
862,0,1.848072,
863,1,0.55744,1
864,0,0.505671,
865,1,-0.994321,0
866,0,-1.459338,0
867,1,1.424018,1
868,1,1.340372,0
869,1,-0.433692,0
870,0,-0.366171,0
871,1,0.655524,1
872,0,0.096773,0
873,1,-0.165115,0
874,1,0.175222,1
875,0,0.875717,
876,1,1.17191,
877,1,-0.101531,0
878,0,-1.742677,0
879,0,0.387997,0
880,0,-1.556542,0
881,1,-0.748358,0
882,0,-0.751817,0
883,1,0.424716,1
884,1,-0.637093,0
885,0,-1.398334,0
886,1,-0.069637,0
887,1,-1.583623,0
888,1,0.121702,0
889,1,-0.51941,0
890,1,-0.136342,0
891,0,2.040818,
892,0,-1.07228,0
893,1,1.258043,
894,0,-0.064715,
895,0,1.658727,
896,0,-0.198072,0
897,1,0.404595,0
898,0,0.138111,0
899,0,-0.788972,
900,1,-1.037103,0
901,0,2.215574,1
902,0,0.524748,
903,1,-0.259724,0
904,1,-1.691052,0
905,0,-0.925192,0
906,1,0.659134,
907,0,0.424608,
908,0,0.250351,
909,0,0.471805,0
910,0,1.462254,1
911,1,-0.549999,0
912,0,2.22644,
913,0,-0.310187,0
914,0,-1.61764,0
915,1,0.578724,0
916,1,0.255712,0
917,0,0.163858,
918,0,0.925645,0
919,0,-0.365247,0
920,0,0.725264,1
921,0,-0.878592,0
922,1,0.584104,0
923,0,0.461243,1
924,0,0.144832,1
925,0,-0.294088,
926,0,-0.136192,0
927,1,-0.095232,0
928,0,-0.890383,0
929,0,-0.51905,1
930,0,0.397259,
931,1,-1.148691,0
932,1,0.342263,0
933,1,1.261423,1
934,0,1.056732,
935,0,0.542059,1
936,0,0.06914,1
937,1,1.240537,1
938,1,0.085497,0
939,1,0.756983,1
940,1,0.175091,0
941,1,1.330867,0
942,1,0.579495,0
943,1,0.741283,1
944,0,-0.028385,0
945,1,0.237351,0
946,1,0.6043,
947,0,-1.456167,0
948,0,-1.549389,0
949,0,0.752344,
950,0,-0.926777,0
951,0,-0.656105,
952,1,-0.093128,0
953,0,-0.10033,0
954,0,1.33627,
955,0,-2.39886,0
956,0,0.332614,1
957,0,0.730514,0
958,0,-0.702709,
959,1,0.146367,0
960,1,1.091648,
961,0,-0.184939,0
962,1,0.081031,0
963,1,-0.885657,0
964,1,1.8056,0
965,1,1.596308,
966,1,0.953121,0
967,0,0.851864,0
968,1,-1.059513,0
969,1,-2.105646,0
970,1,1.148014,1
971,0,-1.320046,0
972,0,1.443507,
973,0,-2.557745,0
974,0,-0.140465,0
975,1,-0.888468,0
976,1,0.487796,0
977,1,-1.312105,0
978,1,0.064795,0
979,1,-0.897811,0
980,0,-0.350477,0
981,0,-0.415016,0
982,0,-0.464064,0
983,1,-1.162225,0
984,0,1.066423,
985,1,0.581519,0
986,1,-0.260225,
987,0,0.12767,0
988,1,-1.974002,0
989,0,-0.571896,0
990,0,-2.217031,0
991,0,-1.065603,0
992,0,-0.019799,
993,1,-0.440381,0
994,0,2.410235,
995,1,1.555954,0
996,1,0.900694,0
997,0,-0.650803,0
998,0,-0.346258,0
999,0,1.43987,
1000,0,0.715354,
1001,1,-0.683668,0
1002,1,-1.04937,0
1003,1,0.876055,0
1004,0,1.348109,
1005,0,-0.749916,0
1006,0,-0.033479,1
1007,1,1.822137,1
1008,0,-1.724406,1
1009,1,1.847191,
1010,0,-0.133817,0
1011,0,1.084504,1
1012,0,-0.386371,0
1013,1,-1.810125,0
1014,0,0.841092,0
1015,1,-0.153374,0
1016,1,0.110749,0
1017,1,0.237233,0
1018,1,0.947254,
1019,0,-0.152087,0
1020,1,-0.152001,0
1021,0,1.47047,1
1022,0,-1.5751,0
1023,1,0.773599,0
1024,1,-0.630893,0
1025,1,0.756333,0
1026,1,-0.065033,0
1027,1,0.364469,1
1028,1,-1.547238,0
1029,0,-0.927571,0
1030,1,0.472825,0
1031,0,-2.772847,0
1032,1,-0.066072,0
1033,1,-0.454813,1
1034,0,1.854041,0
1035,1,1.337783,0
1036,0,-1.040058,0
1037,0,-0.998716,0
1038,1,0.804312,0
1039,0,0.869984,
1040,1,-0.863956,0
1041,1,-0.328904,0
1042,1,-0.0604,0
1043,1,-1.061201,0
1044,1,-0.525412,0
1045,1,0.923285,0
1046,1,-0.611685,0
1047,1,-1.306053,0
1048,1,-0.736065,0
1049,0,0.856387,0
1050,0,-1.036081,1
1051,1,-0.789708,
1052,1,-3.029239,0
1053,1,1.217506,0
1054,0,-0.589766,0
1055,0,-0.767344,0
1056,0,-1.450954,0
1057,1,0.726124,0
1058,1,0.434059,0
1059,1,-0.146167,0
1060,1,0.1267,0
1061,1,1.837664,
1062,0,1.145935,
1063,0,-0.092763,0
1064,0,0.190927,0
1065,1,-2.060474,0
1066,0,0.074335,1
1067,0,-0.280458,
1068,1,0.396264,1
1069,1,0.064144,0
1070,0,0.599494,1
1071,1,-1.111259,0
1072,0,0.458495,
1073,1,0.23162,0
1074,1,2.042238,1
1075,0,-0.226496,0
1076,1,-1.05712,1
1077,1,-1.641865,0
1078,0,-0.011377,
1079,0,-0.558104,1
1080,1,-0.006506,0
1081,0,0.034935,0
1082,0,1.261208,
1083,0,-1.078535,
1084,0,0.211293,0
1085,0,-0.16211,0
1086,0,-1.140492,0
1087,0,-1.371035,0
1088,1,0.659218,0
1089,1,-0.878252,0
1090,0,-0.489647,0
1091,0,-0.65506,0
1092,1,-0.033012,0
1093,1,-0.479947,0
1094,0,1.002198,
1095,0,0.205662,
1096,0,1.158851,
1097,1,1.77328,1
1098,1,1.235425,
1099,0,0.094951,1
1100,0,-1.716935,0
1101,1,1.234957,1
1102,0,1.121626,
1103,0,-1.078998,1
1104,1,1.877441,
1105,0,-0.875534,0
1106,0,0.051316,0
1107,1,0.624843,1
1108,0,-1.867566,0
1109,1,-0.589523,0
1110,1,1.546845,1
1111,1,0.158106,0
1112,1,0.227238,0
1113,1,1.289188,
1114,0,-0.27848,1
1115,0,-0.807492,0
1116,1,-0.59485,0
1117,0,-0.021106,0
1118,1,0.40018,0
1119,0,-1.427954,0
1120,0,-1.108814,0
1121,0,1.837717,
1122,1,0.279723,0
1123,1,-0.553875,0
1124,1,0.273218,0
1125,1,1.490389,
1126,0,0.725399,0
1127,1,1.402582,
1128,1,-1.100813,1
1129,1,0.268172,0
1130,0,1.142715,
1131,0,1.243546,0
1132,0,1.050566,1
1133,1,-0.056716,0
1134,1,-0.271846,0
1135,0,-0.148972,
1136,0,-0.342946,0
1137,1,-0.308245,0
1138,1,-0.381119,1
1139,1,-0.748139,0
1140,0,1.706302,1
1141,0,0.281775,
1142,1,0.095584,0
1143,0,-1.255831,0
1144,0,0.200688,0
1145,0,0.221327,0
1146,0,-0.089411,0
1147,0,-1.582023,0
1148,0,-0.150574,
1149,0,2.412608,
1150,0,-1.423722,0
1151,0,1.51942,1
1152,1,0.93402,
1153,1,-0.813263,1
1154,1,-0.294274,0
1155,1,1.082112,0
1156,0,0.607403,0
1157,0,-0.255326,
1158,1,0.008505,0
1159,0,0.256353,0
1160,1,0.258735,0
1161,0,0.438116,0
1162,1,-1.123162,0
1163,1,0.839279,0
1164,0,0.127807,0
1165,1,-0.067566,0
1166,1,1.995221,1
1167,0,-0.61525,0
1168,0,-0.01821,0
1169,0,0.432362,
1170,0,-0.935666,1
1171,1,0.485167,0
1172,0,-1.245467,0
1173,1,-0.160634,0
1174,0,-1.281221,0
1175,0,0.257313,0
1176,0,-0.223275,0
1177,1,-0.383813,1
1178,1,0.295444,0
1179,0,-0.988411,0
1180,1,1.654106,
1181,0,0.272393,0
1182,1,-0.988789,0
1183,1,-0.13794,1
1184,1,0.481575,0
1185,0,-0.418525,0
1186,1,-0.329912,0
1187,0,0.575299,0
1188,0,-0.567957,1
1189,1,0.736163,0
1190,0,0.711828,0
1191,0,-1.143464,0
1192,0,-0.332818,0
1193,0,1.055816,1
1194,0,0.258634,0
1195,1,1.994674,
1196,1,0.723114,0
1197,1,-0.162888,0
1198,0,-0.846586,0
1199,1,-2.336673,0
1200,1,-0.540874,0
1201,1,-0.125706,0
1202,1,0.457183,0
1203,1,0.306109,0
1204,0,0.743079,0
1205,0,-0.777205,1
1206,1,-0.755991,0
1207,1,-0.255052,0
1208,0,-0.719339,0
1209,0,1.129243,
1210,0,1.691985,
1211,0,0.607656,
1212,0,0.302626,0
1213,0,1.439302,1
1214,1,0.092278,0
1215,0,-0.375087,
1216,1,-0.171969,
1217,1,-0.034293,0
1218,1,0.843409,0
