ward,period,intervention,y
1,6,1,57.1648
1,6,1,54.4072
1,6,1,61.0061
1,6,1,52.8165
1,6,1,55.3284
1,6,1,34.4925
1,6,1,66.4762
1,6,1,39.8145
1,6,1,49.8932
1,6,1,53.7937
1,6,1,48.0316
1,6,1,60.2239
1,6,1,50.9122
1,6,1,63.6062
1,6,1,57.8658
1,6,1,72.9503
1,6,1,55.5275
1,6,1,60.7458
1,7,1,62.976
1,7,1,57.2889
1,7,1,64.4811
1,7,1,59.5994
1,7,1,50.9622
1,7,1,55.9321
1,7,1,59.3453
1,7,1,57.9964
1,7,1,55.9026
1,7,1,69.1935
1,7,1,53.1375
1,7,1,42.1224
1,7,1,58.3091
1,7,1,60.6977
1,7,1,54.7635
1,7,1,64.2294
1,7,1,46.5031
1,7,1,54.0167
1,7,1,52.7589
1,7,1,47.3962
1,7,1,50.4215
1,7,1,60.8941
1,7,1,61.65
1,7,1,45.2502
1,7,1,58.9062
1,7,1,56.7807
1,7,1,60.2342
1,7,1,65.3384
1,7,1,40.3543
1,7,1,58.9022
1,7,1,51.3984
1,7,1,51.659
1,7,1,65.1772
1,7,1,59.1121
1,7,1,51.9486
1,7,1,60.1717
1,7,1,56.2528
1,7,1,61.9113
1,7,1,55.6457
1,7,1,51.0553
1,7,1,56.9207
1,7,1,62.3936
1,7,1,60.7615
1,7,1,55.373
1,7,1,48.7962
1,7,1,56.0888
1,7,1,62.401
1,7,1,51.7657
1,7,1,40.8988
1,7,1,60.8894
2,1,0,50.8082
2,1,0,55.5863
2,1,0,48.8276
2,1,0,41.751
2,1,0,43.597
2,1,0,49.2577
2,1,0,40.4289
2,1,0,47.4147
2,1,0,44.1029
2,1,0,58.4328
2,1,0,54.981
2,1,0,39.0056
2,1,0,60.8247
2,1,0,45.3964
2,1,0,62.4689
2,1,0,49.7142
2,1,0,55.1977
2,1,0,56.6543
2,1,0,61.1075
2,1,0,47.788
2,1,0,59.8079
2,1,0,55.8433
2,1,0,41.1445
2,1,0,60.1011
2,1,0,44.8644
2,1,0,52.0651
2,1,0,59.4478
2,1,0,58.384
2,1,0,47.733
2,1,0,48.5332
2,1,0,53.6104
2,1,0,54.9206
2,1,0,58.9034
2,1,0,61.1222
2,1,0,42.0231
2,1,0,63.9469
2,1,0,71.0307
2,1,0,34.2644
2,1,0,42.8385
2,1,0,48.4208
2,1,0,48.8281
2,1,0,44.2917
2,1,0,49.8098
2,1,0,58.1665
2,1,0,48.1876
2,1,0,40.8706
2,1,0,51.8257
2,1,0,55.4082
2,1,0,57.2969
2,1,0,32.6146
2,2,0,47.205
2,2,0,53.7286
2,2,0,48.5089
2,2,0,58.3407
2,2,0,75.1905
2,2,0,51.7271
2,2,0,34.4273
2,2,0,42.8261
2,2,0,39.5329
2,2,0,48.9031
2,2,0,39.0736
2,2,0,60.9055
2,2,0,37.7939
2,2,0,58.1737
2,2,0,64.57
2,2,0,61.7148
2,2,0,41.729
2,2,0,51.2044
2,2,0,47.7645
2,2,0,66.7678
2,2,0,49.6187
2,2,0,43.1376
2,2,0,50.9381
2,2,0,57.6981
2,2,0,55.481
2,2,0,58.2141
2,2,0,54.491
2,2,0,46.4026
2,2,0,52.9768
2,2,0,51.1436
2,2,0,67.2362
2,2,0,41.9619
2,2,0,62.5598
2,2,0,54.1483
2,2,0,60.4502
2,2,0,35.2926
2,2,0,51.5189
2,2,0,58.4436
2,2,0,49.6454
2,2,0,50.5273
2,2,0,50.6218
2,2,0,52.8616
2,2,0,48.6155
2,2,0,53.2984
2,2,0,54.5704
2,2,0,42.8452
2,2,0,67.1205
2,2,0,49.5452
2,2,0,39.0057
2,2,0,29.3647
2,3,1,47.3277
2,3,1,51.8221
2,3,1,41.139
2,3,1,56.2915
2,3,1,53.6335
2,3,1,60.1911
2,3,1,45.0265
2,3,1,50.2982
2,3,1,61.3925
2,3,1,42.9642
2,3,1,53.288
2,3,1,54.6055
2,3,1,60.5332
2,3,1,63.0803
2,3,1,50.9826
2,3,1,47.9004
2,3,1,61.7923
2,3,1,58.6949
2,3,1,49.1026
2,3,1,50.9725
2,3,1,49.2853
2,3,1,66.2873
2,3,1,61.3009
2,3,1,70.623
2,3,1,47.0052
2,3,1,36.6694
2,3,1,51.5918
2,3,1,49.5697
2,3,1,53.6365
2,3,1,49.726
2,3,1,51.2138
2,3,1,47.8029
2,3,1,65.8158
2,3,1,45.4185
2,3,1,59.2956
2,3,1,50.0302
2,3,1,62.4008
2,3,1,48.9744
2,3,1,66.7749
2,3,1,58.9597
2,3,1,32.2973
2,3,1,51.0704
2,3,1,41.6988
2,3,1,60.3441
2,3,1,65.5202
2,3,1,50.5428
2,3,1,44.0873
2,3,1,58.1293
2,3,1,52.1729
2,3,1,53.7423
2,4,1,40.6325
2,4,1,57.5113
2,4,1,63.7964
2,4,1,38.3672
2,4,1,55.193
2,4,1,63.5472
2,4,1,57.898
2,4,1,53.2208
2,4,1,44.1415
2,4,1,56.2958
2,4,1,51.0386
2,4,1,44.465
2,4,1,54.1508
2,4,1,44.5918
2,4,1,53.284
2,4,1,43.9159
2,4,1,57.9571
2,4,1,45.79
2,4,1,52.7508
2,4,1,50.084
2,4,1,50.8403
2,4,1,62.0646
2,4,1,33.2371
2,4,1,57.9075
2,4,1,58.2565
2,4,1,44.0497
2,4,1,56.8225
2,4,1,55.2393
2,4,1,47.2985
2,4,1,42.6185
2,4,1,42.7082
2,4,1,57.2741
2,4,1,61.7219
2,4,1,41.6189
2,4,1,69.5848
2,4,1,40.0907
2,4,1,39.605
2,4,1,53.5339
2,4,1,64.1443
2,4,1,41.0828
2,4,1,41.6081
2,4,1,55.7592
2,4,1,42.9861
2,4,1,40.3644
2,4,1,61.0519
2,4,1,43.2343
2,4,1,48.579
2,4,1,59.753
2,4,1,40.4814
2,4,1,63.9354
2,5,1,50.4547
2,5,1,55.9429
2,5,1,66.8738
2,5,1,55.4157
2,5,1,49.7777
2,5,1,49.9639
2,5,1,56.0667
2,5,1,75.1204
2,5,1,53.1061
2,5,1,54.9561
2,5,1,67.1
2,5,1,61.1006
2,5,1,42.6545
2,5,1,29.0334
2,5,1,64.1266
2,5,1,54.5812
2,5,1,41.3231
2,5,1,52.53
2,5,1,46.8989
2,5,1,58.9473
2,5,1,60.5752
2,5,1,70.8658
2,5,1,71.3256
2,5,1,45.1266
2,5,1,44.1967
2,5,1,64.2731
2,5,1,63.4734
2,5,1,45.382
2,5,1,44.2412
2,5,1,55.5879
2,5,1,43.9908
2,5,1,57.7103
2,5,1,52.7217
2,5,1,51.4517
2,5,1,42.8073
2,5,1,70.8229
2,5,1,48.163
2,5,1,59.3303
2,5,1,69.6472
2,5,1,61.7871
2,5,1,68.0046
2,5,1,40.9403
2,5,1,41.605
2,5,1,44.3302
2,5,1,62.5432
2,5,1,37.946
2,5,1,54.6866
2,5,1,58.8099
2,5,1,47.2323
2,5,1,53.349
2,6,1,53.1862
2,6,1,49.3018
2,6,1,58.6997
2,6,1,57.1369
2,6,1,63.0322
2,6,1,43.1137
2,6,1,38.0585
2,6,1,47.2907
2,6,1,49.497
2,6,1,46.6696
2,6,1,47.3966
2,6,1,50.1964
2,6,1,45.7675
2,6,1,54.6518
2,6,1,61.589
2,6,1,53.5714
2,6,1,42.8841
2,6,1,59.2334
2,6,1,52.7722
2,6,1,45.5455
2,6,1,52.875
2,6,1,51.2133
2,6,1,49.1425
2,6,1,54.3837
2,6,1,54.1453
2,6,1,50.4903
2,6,1,52.4948
2,6,1,39.2305
2,6,1,59.2019
2,6,1,47.5127
2,6,1,47.5004
2,6,1,50.6111
2,6,1,61.7059
2,6,1,49.233
2,6,1,60.5165
2,6,1,53.1552
2,6,1,60.7048
2,6,1,53.1535
2,6,1,53.1575
2,6,1,63.7863
2,6,1,63.898
2,6,1,51.2046
2,6,1,37.1019
2,6,1,52.1276
2,6,1,53.9234
2,6,1,29.1264
2,6,1,52.3129
2,6,1,46.9918
2,6,1,47.2095
2,6,1,65.193
2,7,1,58.753
2,7,1,55.1742
2,7,1,70.0122
2,7,1,51.5154
2,7,1,48.5209
2,7,1,54.5759
2,7,1,62.3415
2,7,1,53.3084
2,7,1,52.932
2,7,1,45.2615
2,7,1,53.7666
2,7,1,34.871
2,7,1,57.2871
2,7,1,51.7292
2,7,1,56.1185
2,7,1,60.3049
2,7,1,64.4458
2,7,1,43.8313
2,7,1,51.2805
2,7,1,60.6741
2,7,1,45.4465
2,7,1,53.6808
2,7,1,57.6654
2,7,1,35.7429
2,7,1,52.8424
2,7,1,53.8974
2,7,1,52.6217
2,7,1,56.4264
2,7,1,58.0049
2,7,1,62.3036
2,7,1,45.7668
2,7,1,54.3761
2,7,1,43.4445
2,7,1,50.0331
2,7,1,42.6957
2,7,1,51.1052
2,7,1,41.0082
2,7,1,42.8955
2,7,1,44.5454
2,7,1,55.5993
2,7,1,53.3575
2,7,1,60.6152
2,7,1,60.6541
2,7,1,52.8439
2,7,1,62.5571
2,7,1,60.7877
2,7,1,60.94
2,7,1,48.3749
2,7,1,46.8091
2,7,1,46.3844
3,1,0,57.1706
3,1,0,61.514
3,1,0,59.8439
3,1,0,57.7616
3,1,0,56.4673
3,1,0,53.8825
3,1,0,47.5315
3,1,0,41.3975
3,1,0,51.7062
3,1,0,43.6974
3,1,0,48.4365
3,1,0,39.5113
3,1,0,45.7237
3,1,0,46.0504
3,1,0,45.8902
3,1,0,50.9693
3,1,0,50.1179
3,1,0,43.2985
3,1,0,67.3152
3,1,0,52.9037
3,1,0,59.7307
3,1,0,46.4325
3,1,0,52.1499
3,1,0,60.1837
3,1,0,48.2972
3,1,0,52.7191
3,1,0,48.2877
3,1,0,42.0019
3,1,0,54.6774
3,1,0,43.1083
3,1,0,38.0324
3,1,0,38.9564
3,1,0,50.9926
3,1,0,43.2963
3,1,0,42.2308
3,1,0,53.4362
3,1,0,36.626
3,1,0,57.7546
3,1,0,49.6831
3,1,0,61.7199
3,1,0,59.4895
3,1,0,46.9512
3,1,0,37.5162
3,1,0,38.5923
3,1,0,54.3213
3,1,0,47.6865
3,1,0,45.8419
3,1,0,44.3408
3,1,0,58.532
3,1,0,55.869
3,2,0,47.9692
3,2,0,45.8699
3,2,0,49.2271
3,2,0,44.4871
3,2,0,49.2203
3,2,0,51.129
3,2,0,41.218
3,2,0,59.1684
3,2,0,53.2099
3,2,0,53.1939
3,2,0,45.581
3,2,0,53.7483
3,2,0,49.2539
3,2,0,34.6883
3,2,0,54.9
3,2,0,52.9914
3,2,0,56.1324
3,2,0,47.851
3,2,0,59.5432
3,2,0,53.1269
3,2,0,67.5293
3,2,0,48.9025
3,2,0,57.0407
3,2,0,38.4871
3,2,0,66.3332
3,2,0,43.1233
3,2,0,48.8806
3,2,0,50.971
3,2,0,57.5416
3,2,0,59.0001
3,2,0,53.5135
3,2,0,41.2231
3,2,0,58.7227
3,2,0,50.0699
3,2,0,50.14
3,2,0,66.4911
3,2,0,50.8183
3,2,0,47.8896
3,2,0,62.2745
3,2,0,44.4526
3,2,0,60.4823
3,2,0,42.9093
3,2,0,47.1911
3,2,0,57.4018
3,2,0,55.2825
3,2,0,47.9744
3,2,0,49.6693
3,2,0,53.766
3,2,0,60.3262
3,2,0,59.298
3,3,0,40.4905
3,3,0,45.7979
3,3,0,52.9789
3,3,0,49.0473
3,3,0,52.5893
3,3,0,53.0987
3,3,0,49.4015
3,3,0,50.561
3,3,0,47.502
3,3,0,58.1909
3,3,0,65.4348
3,3,0,42.3834
3,3,0,49.5374
3,3,0,59.0149
3,3,0,37.3946
3,3,0,44.2989
3,3,0,42.3334
3,3,0,35.1688
3,3,0,29.2895
3,3,0,47.1308
3,3,0,65.579
3,3,0,46.4233
3,3,0,48.0602
3,3,0,49.008
3,3,0,60.2291
3,3,0,35.2044
3,3,0,44.0416
3,3,0,47.832
3,3,0,43.3474
3,3,0,48.4535
3,3,0,46.6068
3,3,0,44.0599
3,3,0,56.8716
3,3,0,45.2537
3,3,0,54.0452
3,3,0,36.1973
3,3,0,44.8812
3,3,0,48.6294
3,3,0,31.0141
3,3,0,52.613
3,3,0,56.4095
3,3,0,53.472
3,3,0,46.0161
3,3,0,56.8596
3,3,0,41.9896
3,3,0,47.1136
3,3,0,56.3492
3,3,0,60.3174
3,3,0,51.9902
3,3,0,38.4843
3,4,1,44.0292
3,4,1,33.3287
3,4,1,46.2089
3,4,1,37.7159
3,4,1,52.8121
3,4,1,38.3912
3,4,1,55.1674
3,4,1,50.4888
3,4,1,66.1179
3,4,1,41.7465
3,4,1,56.73
3,4,1,58.5337
3,4,1,48.5352
3,4,1,51.9329
3,4,1,55.2487
3,4,1,47.1476
3,4,1,58.6976
3,4,1,53.5527
3,4,1,50.4499
3,4,1,55.1739
3,4,1,65.3442
3,4,1,51.3794
3,4,1,48.8347
3,4,1,54.7308
3,4,1,56.0944
3,4,1,51.2147
3,4,1,60.0874
3,4,1,48.7494
3,4,1,49.4579
3,4,1,52.7843
3,4,1,50.0758
3,4,1,53.4708
3,4,1,60.3517
3,4,1,53.1254
3,4,1,61.622
3,4,1,50.6301
3,4,1,59.1162
3,4,1,53.8948
3,4,1,31.226
3,4,1,61.7735
3,4,1,49.6077
3,4,1,42.9196
3,4,1,47.5853
3,4,1,44.9026
3,4,1,57.7384
3,4,1,58.6893
3,4,1,61.8034
3,4,1,34.1078
3,4,1,50.3967
3,4,1,49.8449
3,5,1,54.7314
3,5,1,56.5093
3,5,1,49.9369
3,5,1,47.6036
3,5,1,49.1806
3,5,1,48.5142
3,5,1,49.7411
3,5,1,48.2628
3,5,1,64.5448
3,5,1,63.4273
3,5,1,56.9092
3,5,1,48.9456
3,5,1,54.8846
3,5,1,48.8291
3,5,1,43.8767
3,5,1,51.027
3,5,1,56.4098
3,5,1,56.8144
3,5,1,47.4107
3,5,1,49.3428
3,5,1,56.0046
3,5,1,52.1966
3,5,1,61.614
3,5,1,47.5322
3,5,1,64.3883
3,5,1,56.0332
3,5,1,60.9675
3,5,1,49.8315
3,5,1,41.8654
3,5,1,61.3217
3,5,1,52.1545
3,5,1,47.1348
3,5,1,53.297
3,5,1,59.8873
3,5,1,44.4127
3,5,1,52.7095
3,5,1,57.8211
3,5,1,53.32
3,5,1,51.3364
3,5,1,54.7859
3,5,1,46.1559
3,5,1,28.2119
3,5,1,61.0948
3,5,1,52.9921
3,5,1,60.7054
3,5,1,43.2317
3,5,1,52.5222
3,5,1,36.4708
3,5,1,38.9713
3,5,1,47.5251
3,6,1,58.7577
3,6,1,60.0963
3,6,1,47.1494
3,6,1,49.437
3,6,1,47.1754
3,6,1,49.9846
3,6,1,48.0639
3,6,1,59.5432
3,6,1,48.8115
3,6,1,52.1052
3,6,1,57.4518
3,6,1,54.807
3,6,1,64.4009
3,6,1,49.8327
3,6,1,40.6835
3,6,1,49.7321
3,6,1,52.4562
3,6,1,49.0443
3,6,1,52.0411
3,6,1,49.2244
3,6,1,41.8578
3,6,1,47.0514
3,6,1,55.0206
3,6,1,44.8162
3,6,1,43.7929
3,6,1,53.9399
3,6,1,51.6352
3,6,1,47.3849
3,6,1,42.9583
3,6,1,50.0603
3,6,1,75.3462
3,6,1,40.1424
3,6,1,50.3209
3,6,1,48.6814
3,6,1,62.7286
3,6,1,61.6436
3,6,1,32.7434
3,6,1,51.2382
3,6,1,53.4372
3,6,1,53.9834
3,6,1,62.1609
3,6,1,44.1828
3,6,1,50.8602
3,6,1,55.7465
3,6,1,66.3192
3,6,1,46.3802
3,6,1,51.6943
3,6,1,52.3468
3,6,1,50.5976
3,6,1,45.4387
3,7,1,56.3728
3,7,1,61.0113
3,7,1,54.7574
3,7,1,57.7053
3,7,1,55.0753
3,7,1,57.2763
3,7,1,49.4063
3,7,1,49.4575
3,7,1,53.8498
3,7,1,62.371
3,7,1,55.6571
3,7,1,45.6554
3,7,1,46.2753
3,7,1,48.7784
3,7,1,60.7807
3,7,1,60.8042
3,7,1,49.5129
3,7,1,43.3398
3,7,1,53.7189
3,7,1,52.1242
3,7,1,43.5138
3,7,1,54.7493
3,7,1,56.8065
3,7,1,50.4672
3,7,1,55.5929
3,7,1,52.434
3,7,1,64.3607
3,7,1,42.0597
3,7,1,59.5217
3,7,1,56.2776
3,7,1,62.1651
3,7,1,62.1669
3,7,1,60.9524
3,7,1,39.2192
3,7,1,44.6996
3,7,1,53.5898
3,7,1,60.8638
3,7,1,62.3299
3,7,1,49.896
3,7,1,49.2341
3,7,1,67.3094
3,7,1,44.0248
3,7,1,62.7852
3,7,1,39.4258
3,7,1,42.485
3,7,1,41.8591
3,7,1,50.8478
3,7,1,49.1761
3,7,1,47.4758
3,7,1,39.0443
4,1,0,37.4979
4,1,0,60.0395
4,1,0,51.4766
4,1,0,48.9629
4,1,0,45.5514
4,1,0,56.178
4,1,0,36.6883
4,1,0,41.7246
4,1,0,51.0198
4,1,0,42.0855
4,1,0,46.7605
4,1,0,44.3261
4,1,0,52.8826
4,1,0,49.9733
4,1,0,52.4704
4,1,0,54.0173
4,1,0,51.0627
4,1,0,56.7015
4,1,0,39.8413
4,1,0,48.0447
4,1,0,55.8629
4,1,0,30.5949
4,1,0,49.0675
4,1,0,45.7087
4,1,0,54.3252
4,1,0,48.522
4,1,0,43.4218
4,1,0,59.5564
4,1,0,66.0039
4,1,0,23.5978
4,1,0,37.2491
4,1,0,56.6611
4,1,0,59.2232
4,1,0,41.1403
4,1,0,61.7459
4,1,0,38.6954
4,1,0,47.1219
4,1,0,59.5011
4,1,0,39.8002
4,1,0,36.6215
4,1,0,38.3385
4,1,0,46.4866
4,1,0,64.3622
4,1,0,46.3057
4,1,0,33.903
4,1,0,50.8228
4,1,0,38.457
4,1,0,50.0545
4,1,0,43.0052
4,1,0,50.029
4,2,0,43.2925
4,2,0,51.831
4,2,0,47.9058
4,2,0,52.5089
4,2,0,62.0015
4,2,0,43.1081
4,2,0,55.0345
4,2,0,53.5608
4,2,0,67.2845
4,2,0,51.6124
4,2,0,51.726
4,2,0,47.077
4,2,0,44.0741
4,2,0,50.2279
4,2,0,56.3085
4,2,0,43.9171
4,2,0,66.7903
4,2,0,53.0843
4,2,0,45.6439
4,2,0,54.8966
4,2,0,47.4364
4,2,0,39.6677
4,2,0,36.9754
4,2,0,49.3896
4,2,0,48.6602
4,2,0,39.0761
4,2,0,53.2443
4,2,0,50.7252
4,2,0,63.9384
4,2,0,47.3638
4,2,0,54.5402
4,2,0,54.7545
4,2,0,46.768
4,2,0,48.538
4,2,0,33.251
4,2,0,59.9609
4,2,0,47.717
4,2,0,33.6276
4,2,0,56.6682
4,2,0,59.6929
4,2,0,54.1876
4,2,0,50.8134
4,2,0,52.3939
4,2,0,47.0469
4,2,0,59.7613
4,2,0,55.0974
4,2,0,45.9666
4,2,0,35.9152
4,2,0,48.2065
4,2,0,47.5128
4,3,0,41.1814
4,3,0,42.9146
4,3,0,43.5427
4,3,0,49.5596
4,3,0,50.7958
4,3,0,44.616
4,3,0,46.1827
4,3,0,51.475
4,3,0,41.7297
4,3,0,55.8144
4,3,0,41.8113
4,3,0,54.1959
4,3,0,57.5042
4,3,0,64.8898
4,3,0,58.0171
4,3,0,52.6992
4,3,0,45.7358
4,3,0,50.0457
4,3,0,51.5619
4,3,0,44.3295
4,3,0,48.4501
4,3,0,38.3605
4,3,0,58.2394
4,3,0,47.3899
4,3,0,45.3952
4,3,0,56.1701
4,3,0,42.2556
4,3,0,43.6026
4,3,0,58.1215
4,3,0,50.9451
4,3,0,41.7122
4,3,0,66.4588
4,3,0,48.5991
4,3,0,45.5567
4,3,0,51.5565
4,3,0,55.2113
4,3,0,55.2544
4,3,0,45.903
4,3,0,47.0431
4,3,0,46.4848
4,3,0,58.55
4,3,0,46.1258
4,3,0,59.9034
4,3,0,50.2979
4,3,0,56.7983
4,3,0,43.5302
4,3,0,43.5357
4,3,0,56.416
4,3,0,59.8656
4,3,0,64.5675
4,4,0,50.6828
4,4,0,40.7591
4,4,0,55.9179
4,4,0,39.0169
4,4,0,40.1413
4,4,0,49.0538
4,4,0,57.1963
4,4,0,53.9934
4,4,0,45.3472
4,4,0,50.9946
4,4,0,63.1606
4,4,0,39.9962
4,4,0,48.1064
4,4,0,41.0306
4,4,0,56.032
4,4,0,55.7604
4,4,0,46.662
4,4,0,53.6972
4,4,0,36.6806
4,4,0,41.8575
4,4,0,51.3795
4,4,0,50.8219
4,4,0,50.3236
4,4,0,51.5137
4,4,0,64.022
4,4,0,49.5441
4,4,0,46.1661
4,4,0,48.5734
4,4,0,51.8932
4,4,0,56.2027
4,4,0,41.2535
4,4,0,59.209
4,4,0,45.3137
4,4,0,64.5596
4,4,0,45.7716
4,4,0,58.4497
4,4,0,53.4487
4,4,0,67.8044
4,4,0,42.5537
4,4,0,45.9384
4,4,0,60.0218
4,4,0,55.7843
4,4,0,59.0879
4,4,0,49.2616
4,4,0,56.1453
4,4,0,54.7167
4,4,0,56.2063
4,4,0,53.389
4,4,0,57.3681
4,4,0,46.7409
4,5,0,48.3197
4,5,0,56.0628
4,5,0,32.2575
4,5,0,59.4274
4,5,0,59.609
4,5,0,59.9289
4,5,0,41.8311
4,5,0,45.8692
4,5,0,45.7776
4,5,0,59.3976
4,5,0,58.1694
4,5,0,59.3034
4,5,0,59.8476
4,5,0,44.3092
4,5,0,63.1134
4,5,0,54.1652
4,5,0,57.8257
4,5,0,43.056
4,5,0,53.8742
4,5,0,51.9512
4,5,0,50.9345
4,5,0,36.8775
4,5,0,55.2093
4,5,0,68.8442
4,5,0,51.0793
4,5,0,61.4133
4,5,0,57.7916
4,5,0,46.1193
4,5,0,56.1853
4,5,0,65.9041
4,5,0,52.7494
4,5,0,53.0761
