id,treated,baseline,followup
222,0,61.67,44.68
223,0,62.15,54.7
224,0,55.41,51.04
225,0,57.54,49.63
226,0,51.37,37.32
227,0,56.84,55.13
228,0,62.28,58.15
229,0,41.44,46.17
230,0,62.19,51.85
231,0,51.33,54.01
232,0,34.11,56.96
233,0,48.48,63.38
234,0,49.91,37.94
235,0,44.44,50.63
236,0,45.33,37.48
237,0,57.46,63.65
238,0,70.19,59.43
239,0,46.38,47.38
240,0,60.8,53.73
241,0,26.47,26.98
242,0,66.6,70.23
243,0,52.95,49.24
244,0,47.07,38.8
245,0,50.03,48.03
246,0,52.72,33.61
247,0,45.86,48.09
248,0,72.64,71.2
249,0,55.96,51.2
250,0,46.2,46.18
251,0,55.49,67.46
252,0,59.0,50.96
253,0,58.36,58.57
254,0,44.56,39.36
255,0,51.2,45.15
256,0,57.5,51.93
257,0,40.21,47.23
258,0,53.67,44.91
259,0,29.94,34.12
260,0,57.45,61.14
261,0,52.96,40.72
262,0,35.25,42.54
263,0,63.98,61.19
264,0,62.62,55.07
265,0,39.52,39.5
266,0,59.7,58.77
267,0,57.94,50.58
268,0,44.43,47.76
269,0,55.15,62.7
270,0,29.81,40.83
271,0,36.51,42.75
272,0,44.78,50.14
273,0,37.06,42.21
274,0,65.01,61.41
275,0,53.89,44.37
276,0,61.52,54.46
277,0,56.3,62.52
278,0,44.78,42.34
279,0,36.4,44.31
280,0,26.8,33.71
281,0,56.59,49.21
282,0,34.9,44.02
283,0,51.6,59.24
284,0,49.2,51.65
285,0,42.25,29.97
286,0,53.0,49.59
287,0,35.5,37.87
288,0,58.76,58.42
289,0,48.74,50.49
290,0,46.6,48.42
291,0,33.78,28.34
292,0,45.78,41.88
293,0,31.44,44.02
294,0,37.18,47.72
295,0,39.12,52.91
296,0,43.38,43.89
297,0,30.88,34.22
298,0,57.7,58.21
299,0,59.02,67.4
300,0,37.38,40.75
301,0,51.63,54.0
302,0,61.13,61.33
303,0,63.1,61.42
304,0,35.49,36.08
305,0,64.77,58.28
306,0,64.05,58.05
307,0,54.92,59.25
308,0,42.28,40.48
309,0,39.46,41.45
310,0,55.31,62.24
311,0,45.38,47.64
312,0,33.98,36.83
313,0,44.31,39.66
314,0,53.05,53.97
315,0,36.54,45.38
316,0,46.52,53.64
317,0,51.85,53.58
318,0,55.67,49.64
319,0,46.58,43.77
320,0,52.45,40.82
321,0,57.23,64.88
322,0,50.17,67.02
323,0,49.04,50.76
324,0,59.36,62.28
325,0,44.08,35.07
326,0,38.69,49.39
327,0,49.92,49.45
328,0,44.66,49.69
329,0,50.3,45.5
330,0,54.74,47.82
331,0,41.18,50.23
332,0,33.16,37.19
333,0,32.39,41.8
334,0,43.75,57.42
335,0,61.23,55.23
336,0,48.51,51.23
337,0,62.47,49.8
338,0,38.15,34.26
339,0,42.05,48.84
340,0,55.79,45.45
341,0,53.26,56.07
342,0,41.96,42.01
343,0,45.13,53.93
344,0,48.39,46.77
345,0,51.71,59.63
346,0,55.8,60.39
347,0,44.55,44.47
348,0,35.38,47.6
349,0,37.63,36.09
350,0,50.82,38.85
351,0,45.48,46.51
352,0,31.66,41.87
353,0,34.16,41.61
354,0,65.82,62.01
355,0,47.2,41.67
356,0,44.34,47.33
357,0,54.96,50.25
358,0,42.25,43.24
359,0,46.94,51.8
360,0,36.75,28.1
361,0,56.91,54.64
362,0,50.5,51.2
363,0,57.54,58.42
364,0,46.9,42.3
365,0,42.16,58.49
366,0,54.56,52.38
367,0,52.67,50.04
368,0,61.6,50.1
369,0,47.22,48.0
370,0,44.86,49.18
371,0,57.33,59.85
372,0,46.75,51.42
373,0,50.16,51.21
374,0,34.29,42.2
375,0,65.94,55.21
376,0,42.37,46.1
377,0,57.41,51.74
378,0,38.33,49.04
379,0,57.94,46.92
380,0,38.57,48.08
381,0,43.21,40.02
382,0,53.74,49.31
383,0,41.87,44.34
384,0,37.81,46.11
385,0,43.05,51.35
386,0,48.01,63.13
387,0,27.78,32.93
388,0,42.47,37.88
389,0,53.48,50.94
390,0,42.97,54.64
391,0,66.01,57.62
392,0,59.31,63.11
393,0,36.25,44.07
394,0,48.75,52.83
395,0,56.82,54.05
396,0,50.6,55.28
397,0,37.61,41.48
398,0,60.45,58.38
399,0,55.32,40.45
400,0,56.12,62.26
